Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;02;BMA004;2021-11-14;11:00;0534442;ASPTT LAVAL;0284553;C'CHARTRES VOLLEY; 2/1;25-15,23-25,15-9;63-49;GYMNASE NOEMIE HAMARD;SOUTIF MARIE-NOELLE;;;
ACJEUNES;02;BMA005;2021-11-14;00:00;0284553;C'CHARTRES VOLLEY;0279428;EVREUX VOLLEY-BALL; 2/0;25-18,32-30;57-48;GYMNASE NOEMIE HAMARD;SOUTIF MARIE-NOELLE;;;
ACJEUNES;02;BMA006;2021-11-14;00:00;0534442;ASPTT LAVAL;0279428;EVREUX VOLLEY-BALL; 2/0;25-18,26-24;51-42;GYMNASE NOEMIE HAMARD;SOUTIF MARIE-NOELLE;;;
ACJEUNES;02;BMB004;2021-11-14;10:00;0784696;AS VOLLEY-BALL VELIZY;0757954;PARIS AMICALE CAMOU; 2/0;25-16,25-22;50-38;JEAN MACE;TAULEMESSE FREDERIC;;;
ACJEUNES;02;BMB005;2021-11-14;00:00;0757954;PARIS AMICALE CAMOU;0750043;SPORTING CLUB NORD PARISIEN; 2/1;25-22,26-28,15-7;66-57;JEAN MACE;TAULEMESSE FREDERIC;;;
ACJEUNES;02;BMB006;2021-11-14;00:00;0784696;AS VOLLEY-BALL VELIZY;0750043;SPORTING CLUB NORD PARISIEN; 2/0;25-13,25-21;50-34;JEAN MACE;TAULEMESSE FREDERIC;;;
ACJEUNES;02;BMC004;2021-11-14;11:00;0927924;C S M CLAMART;0788680;AS. SP DE SARTROUVILLE; 0/2;9-25,21-25;30-50;JARDIN PARISIEN;PARISOT PIERRE;;;
ACJEUNES;02;BMC005;2021-11-14;00:00;0788680;AS. SP DE SARTROUVILLE;0957908;V.B. CLUB ERMONT; 2/0;25-7,25-8;50-15;JARDIN PARISIEN;PARISOT PIERRE;;;
ACJEUNES;02;BMC006;2021-11-14;00:00;0927924;C S M CLAMART;0957908;V.B. CLUB ERMONT; 2/0;25-20,26-24;51-44;JARDIN PARISIEN;PARISOT PIERRE;;;
ACJEUNES;02;BMD004;2021-11-14;11:00;0955698;AS VOLLEY-BALL TAVERNY SAINT-LEU;0929372;PLESSIS-ROBINSON VOLLEY-BALL; 0/2;23-25,20-25;43-50;JEAN BOUIN;PYDIAH STEPHANO;;;
