Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;07;MMA019;2023-04-09;11:00;0114939;NARBONNE VOLLEY;0836296;DRAGUIGNAN UNION CLUB VAR VB;;;;PALAIS DU TRAVAIL;;;;
ACJEUNES;07;MMA020;2023-04-09;00:00;0836296;DRAGUIGNAN UNION CLUB VAR VB;0788680;AS. SP DE SARTROUVILLE;;;;PALAIS DU TRAVAIL;;;;
ACJEUNES;07;MMA021;2023-04-09;00:00;0114939;NARBONNE VOLLEY;0788680;AS. SP DE SARTROUVILLE;;;;PALAIS DU TRAVAIL;;;;
ACJEUNES;07;MMB019;2023-04-09;11:00;0842425;U.S. PONTET VOLLEY AVENIR;0839557;FREJUS VAR VOLLEY;;;;LA GRAVIERE;;;;
ACJEUNES;07;MMB020;2023-04-09;00:00;0839557;FREJUS VAR VOLLEY;0686394;VBC KINGERSHEIM;;;;LA GRAVIERE;;;;
ACJEUNES;07;MMB021;2023-04-09;00:00;0842425;U.S. PONTET VOLLEY AVENIR;0686394;VBC KINGERSHEIM;;;;LA GRAVIERE;;;;
ACJEUNES;07;MMC019;2023-04-09;11:00;0132346;MARIGNANE VOLLEY-BALL;0307732;NIMES VOLLEY-BALL;;;;CARESTIER;;;;
ACJEUNES;07;MMC020;2023-04-09;00:00;0307732;NIMES VOLLEY-BALL;0946784;VINCENNES VOLLEY CLUB;;;;CARESTIER;;;;
ACJEUNES;07;MMC021;2023-04-09;00:00;0132346;MARIGNANE VOLLEY-BALL;0946784;VINCENNES VOLLEY CLUB;;;;CARESTIER;;;;
ACJEUNES;07;MMD019;2023-04-09;11:00;0757777;PUC VOLLEY-BALL;0351417;RENNES ETUDIANTS CLUB;;;;CHARPY;;;;
ACJEUNES;07;MMD020;2023-04-09;00:00;0351417;RENNES ETUDIANTS CLUB;0345002;ASBAM MONTPELLIER;;;;CHARPY;;;;
ACJEUNES;07;MMD021;2023-04-09;00:00;0757777;PUC VOLLEY-BALL;0345002;ASBAM MONTPELLIER;;;;CHARPY;;;;
ACJEUNES;07;MME019;2023-04-09;11:00;0927953;ASNIERES VOLLEY 92;0136082;VITROLLES SPORTS VOLLEY-BALL;;;;GYMNASE DES COURTILLES;;;;
ACJEUNES;07;MME020;2023-04-09;00:00;0136082;VITROLLES SPORTS VOLLEY-BALL;0640001;LESCAR PROMOTION VOLLEY-BALL;;;;GYMNASE DES COURTILLES;;;;
ACJEUNES;07;MME021;2023-04-09;00:00;0927953;ASNIERES VOLLEY 92;0640001;LESCAR PROMOTION VOLLEY-BALL;;;;GYMNASE DES COURTILLES;;;;
ACJEUNES;07;MMF019;2023-04-09;11:00;0929372;PLESSIS-ROBINSON VOLLEY-BALL;0596135;VOLLEY CLUB DE CAMBRAI;;;;OMNISPORTS;;;;
ACJEUNES;07;MMF020;2023-04-09;00:00;0596135;VOLLEY CLUB DE CAMBRAI;0374861;TOURS VOLLEY-BALL;;;;OMNISPORTS;;;;
ACJEUNES;07;MMF021;2023-04-09;00:00;0929372;PLESSIS-ROBINSON VOLLEY-BALL;0374861;TOURS VOLLEY-BALL;;;;OMNISPORTS;;;;
ACJEUNES;07;MMG019;2023-04-09;11:00;0943861;CNM CHARENTON;0622126;HARNES VOLLEY-BALL;;;;GYMNASE TONY PARKER;;;;
ACJEUNES;07;MMG020;2023-04-09;00:00;0622126;HARNES VOLLEY-BALL;0060036;PAYS DE GRASSE VOLLEY-BALL;;;;GYMNASE TONY PARKER;;;;
ACJEUNES;07;MMG021;2023-04-09;00:00;0943861;CNM CHARENTON;0060036;PAYS DE GRASSE VOLLEY-BALL;;;;GYMNASE TONY PARKER;;;;
