Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;05;CFA013;2024-02-11;11:00;0067686;VOLERO LE CANNET COTE D'AZUR;0839557;FREJUS VAR VOLLEY;;;;MAILLAN;;;
ACJEUNES;05;CFA014;2024-02-11;00:00;0839557;FREJUS VAR VOLLEY;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS;;;;MAILLAN;;;
ACJEUNES;05;CFA015;2024-02-11;00:00;0067686;VOLERO LE CANNET COTE D'AZUR;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS;;;;MAILLAN;;;
ACJEUNES;05;CFB013;2024-02-11;11:00;0345002;ASBAM MONTPELLIER;0344410;ASLJCROIX ARGENT MONTPELLIER;;;;GYMNASE LES ARTS;SAADOUNE ABDELHAK;DUSSAUT REMY;
ACJEUNES;05;CFB014;2024-02-11;00:00;0344410;ASLJCROIX ARGENT MONTPELLIER;0132346;MARIGNANE VOLLEY-BALL;;;;GYMNASE LES ARTS;;;
ACJEUNES;05;CFB015;2024-02-11;00:00;0345002;ASBAM MONTPELLIER;0132346;MARIGNANE VOLLEY-BALL;;;;GYMNASE LES ARTS;;;
ACJEUNES;05;CFC013;2024-02-11;11:00;0319191;VOLLEY BALMA QUINT FONSEGRIVES;0634293;RIOM VOLLEY-BALL;;;;PATRICK PÉPI;;;
ACJEUNES;05;CFC014;2024-02-11;00:00;0634293;RIOM VOLLEY-BALL;0335197;SPORT ATHLETIQUE MERIGNACAIS;;;;PATRICK PÉPI;;;
ACJEUNES;05;CFC015;2024-02-11;00:00;0319191;VOLLEY BALMA QUINT FONSEGRIVES;0335197;SPORT ATHLETIQUE MERIGNACAIS;;;;PATRICK PÉPI;;;
ACJEUNES;05;CFD013;2024-02-11;11:00;0307732;NIMES VOLLEY-BALL;0136761;ISTRES PROVENCE VOLLEY;;;;GASTON LESSUT;GRAS JEAN-MARIE;PABLO MAXIME;
ACJEUNES;05;CFD014;2024-02-11;00:00;0136761;ISTRES PROVENCE VOLLEY;0117968;VOLLEY-BALL GRUISSAN;;;;GASTON LESSUT;;;
ACJEUNES;05;CFD015;2024-02-11;00:00;0307732;NIMES VOLLEY-BALL;0117968;VOLLEY-BALL GRUISSAN;;;;GASTON LESSUT;;;
ACJEUNES;05;CFE013;2024-02-11;11:00;0649575;FOYER RURAL DE GER;0175042;ROYAN ATLANTIQUE VOLLEY-BALL;;;;SALLE DES SPORTS;;;
ACJEUNES;05;CFE014;2024-02-11;00:00;0175042;ROYAN ATLANTIQUE VOLLEY-BALL;0349150;LATTES ASPTT MONTPELLIER V.A.C;;;;SALLE DES SPORTS;;;
ACJEUNES;05;CFE015;2024-02-11;00:00;0649575;FOYER RURAL DE GER;0349150;LATTES ASPTT MONTPELLIER V.A.C;;;;SALLE DES SPORTS;;;
ACJEUNES;05;CFF013;2024-02-11;11:00;0646282;MJC LES FLEURS DE PAU;0338606;VOLLEY BALL CLUB LE HAILLAN;;;;LEO LAGRANGE;;;
ACJEUNES;05;CFF014;2024-02-11;00:00;0338606;VOLLEY BALL CLUB LE HAILLAN;0340015;BEZIERS VOLLEY;;;;LEO LAGRANGE;;;
ACJEUNES;05;CFF015;2024-02-11;00:00;0646282;MJC LES FLEURS DE PAU;0340015;BEZIERS VOLLEY;;;;LEO LAGRANGE;;;
ACJEUNES;05;CFG013;2024-02-11;11:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0491492;SPORTING CLUB DE L OUEST;;;;JEAN JAHAN 2;;;
ACJEUNES;05;CFG014;2024-02-11;00:00;0491492;SPORTING CLUB DE L OUEST;0355169;VOLLEY BALL CLUB MALOUIN;;;;JEAN JAHAN 2;;;
ACJEUNES;05;CFG015;2024-02-11;00:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0355169;VOLLEY BALL CLUB MALOUIN;;;;JEAN JAHAN 2;;;
ACJEUNES;05;CFH013;2024-02-11;11:00;0299370;QUIMPER VOLLEY 29;0449605;ST NAZAIRE VB ATLANTIQUE;;;;GYMNASE COLLEGE LA TOURELLE;;;
ACJEUNES;05;CFH014;2024-02-11;00:00;0449605;ST NAZAIRE VB ATLANTIQUE;0351417;RENNES ETUDIANTS CLUB;;;;GYMNASE COLLEGE LA TOURELLE;;;
ACJEUNES;05;CFH015;2024-02-11;00:00;0299370;QUIMPER VOLLEY 29;0351417;RENNES ETUDIANTS CLUB;;;;GYMNASE COLLEGE LA TOURELLE;;;
ACJEUNES;05;CFI013;2024-02-11;11:00;0377620;UNION SPORTIVE CHAMBRAY LES TOURS;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;GYMNASE DANGUILLAUME;VIÉ ARNAUD;;
ACJEUNES;05;CFI014;2024-02-11;00:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;;;;GYMNASE DANGUILLAUME;;;
