Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;04;CMA010;2024-01-21;11:00;0534442;ASPTT LAVAL;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION; 2/0;25-15,25-16;50-31;JACQUES CHAMARET;GUILLEMOT ERWAN;COUVREUR EMMANUEL;
ACJEUNES;04;CMA011;2024-01-21;00:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0355169;VOLLEY BALL CLUB MALOUIN; 2/0;25-21,25-14;50-35;JACQUES CHAMARET;GUILLEMOT ERWAN;COUVREUR EMMANUEL;
ACJEUNES;04;CMA012;2024-01-21;00:00;0534442;ASPTT LAVAL;0355169;VOLLEY BALL CLUB MALOUIN; 2/0;25-16,25-21;50-37;JACQUES CHAMARET;COUVREUR EMMANUEL;GUILLEMOT ERWAN;
ACJEUNES;04;CMB010;2024-01-21;10:00;0839557;FREJUS VAR VOLLEY;0699603;ASUL LYON VOLLEY BALL; 2/0;25-21,25-16;50-37;HALLE DES PORTS SAINT CROIX;MONTAGNESE OLIVIER;NEVEU FLORIAN;
ACJEUNES;04;CMB011;2024-01-21;00:00;0699603;ASUL LYON VOLLEY BALL;0060008;MANDELIEU LA NAPOULE V.B.; 2/0;25-20,25-22;50-42;HALLE DES PORTS SAINT CROIX;MONTAGNESE OLIVIER;NEVEU FLORIAN;
ACJEUNES;04;CMB012;2024-01-21;00:00;0839557;FREJUS VAR VOLLEY;0060008;MANDELIEU LA NAPOULE V.B.; 2/0;25-13,25-20;50-33;HALLE DES PORTS SAINT CROIX;NEVEU FLORIAN;MONTAGNESE OLIVIER;
ACJEUNES;04;CMC010;2024-01-21;11:00;0132348;MARSEILLE VOLLEY 13;0837251;VOLLEY BALL OLLIOULAIS; 2/0;25-22,25-11;50-33;GYMNASE DE LA ROSE FUVEAU;DAHMANI TOUFIQ;ROSSELLO REMY;
ACJEUNES;04;CMC011;2024-01-21;00:00;0837251;VOLLEY BALL OLLIOULAIS;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD); 0/2;12-25,23-25;35-50;GYMNASE DE LA ROSE FUVEAU;DAHMANI TOUFIQ;ROSSELLO REMY;
ACJEUNES;04;CMC012;2024-01-21;00:00;0132348;MARSEILLE VOLLEY 13;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD); 2/0;25-18,25-20;50-38;GYMNASE DE LA ROSE FUVEAU;ROSSELLO REMY;DAHMANI TOUFIQ;
ACJEUNES;04;CMD010;2024-01-21;11:00;0132346;MARIGNANE VOLLEY-BALL;0668467;PERPIGNAN ROUSSILLON V.B; 2/0;25-18,25-22;50-40;CARESTIER;CAYRIER MORGAN;BOULBES ALICE;
ACJEUNES;04;CMD011;2024-01-21;00:00;0668467;PERPIGNAN ROUSSILLON V.B;0428393;VB POUILLY SAINT-NIZIER; 2/0;25-23,25-23;50-46;CARESTIER;CAYRIER MORGAN;BOULBES ALICE;
ACJEUNES;04;CMD012;2024-01-21;00:00;0132346;MARIGNANE VOLLEY-BALL;0428393;VB POUILLY SAINT-NIZIER; 2/0;25-14,25-19;50-33;CARESTIER;BOULBES ALICE;CAYRIER MORGAN;
ACJEUNES;04;CME010;2024-01-21;10:00;0345002;ASBAM MONTPELLIER;0336361;AV GARDE J D ARC CAUDERAN; 2/1;18-25,25-18,15-12;58-55;GYMNASE LES ARTS;MARTA MICHAEL;PAUTET GUILLAUME;
ACJEUNES;04;CME011;2024-01-21;00:00;0336361;AV GARDE J D ARC CAUDERAN;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE; 0/2;15-25,22-25;37-50;GYMNASE LES ARTS;MARTA MICHAEL;PAUTET GUILLAUME;
ACJEUNES;04;CME012;2024-01-21;00:00;0345002;ASBAM MONTPELLIER;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE; 0/2;11-25,26-28;37-53;GYMNASE LES ARTS;PAUTET GUILLAUME;MARTA MICHAEL;
ACJEUNES;04;CMF010;2024-01-21;11:00;0343330;ARAGO DE SETE VOLLEY-BALL;0114939;NARBONNE VOLLEY; 2/0;25-22,25-17;50-39;HALLE LOUIS MARTY;BOURGUIBI ABDESAMAD;GRAPPIN STEPHANIE;
ACJEUNES;04;CMF011;2024-01-21;00:00;0114939;NARBONNE VOLLEY;0307732;NIMES VOLLEY-BALL; 2/0;27-25,25-20;52-45;HALLE LOUIS MARTY;BOURGUIBI ABDESAMAD;GRAPPIN STEPHANIE;
ACJEUNES;04;CMF012;2024-01-21;00:00;0343330;ARAGO DE SETE VOLLEY-BALL;0307732;NIMES VOLLEY-BALL; 2/0;25-17,25-15;50-32;HALLE LOUIS MARTY;GRAPPIN STEPHANIE;BOURGUIBI ABDESAMAD;
ACJEUNES;04;CMG010;2024-01-21;12:00;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL;0334980;UNION SPORTIVE TALENCAISE; 2/0;25-23,25-21;50-44;PETIT PALAIS DES SPORTS;LARRIEU DAVID;VO QUANG TUYEN DANIEL;
