Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;BMA001;2021-10-17;11:00;0067689;US CAGNES VOLLEY-BALL;0060036;PAYS DE GRASSE VOLLEY-BALL; 0/2;25-27,14-25;39-52;JULES VERNE;THODENIUS MICHELLE;;
ACJEUNES;01;BMA002;2021-10-17;00:00;0060036;PAYS DE GRASSE VOLLEY-BALL;02A5803;GFCA VOLLEY-BALL; 2/0;25-6,25-12;50-18;JULES VERNE;THODENIUS MICHELLE;;
ACJEUNES;01;BMA003;2021-10-17;00:00;0067689;US CAGNES VOLLEY-BALL;02A5803;GFCA VOLLEY-BALL; 2/0;25-14,25-14;50-28;JULES VERNE;THODENIUS MICHELLE;;
ACJEUNES;01;BMB001;2021-10-17;09:00;0066927;NICE VOLLEY-BALL;0062509;OLYMPIQUES ANTIBES JUAN PINS; 2/0;25-9,25-14;50-23;PALMEIRA-GIAMARCHI;RAMBAUD JORDAN;;
ACJEUNES;01;BMB002;2021-10-17;00:00;0062509;OLYMPIQUES ANTIBES JUAN PINS;0839557;FREJUS VAR VOLLEY; 0/2;14-25,17-25;31-50;PALMEIRA-GIAMARCHI;RAMBAUD JORDAN;;
ACJEUNES;01;BMB003;2021-10-17;00:00;0066927;NICE VOLLEY-BALL;0839557;FREJUS VAR VOLLEY; 2/0;25-13,25-9;50-22;PALMEIRA-GIAMARCHI;RAMBAUD JORDAN;;
ACJEUNES;01;BMC001;2021-10-17;10:00;0836296;DRAGUIGNAN UNION CLUB VAR VB;0068454;MUNICIPAL OLYMPIQUE MOUGINS; 2/0;25-6,25-10;50-16;GYMNASE COLL�GE ROSTAND;LE NOTRE GABRIEL;;
ACJEUNES;01;BMC002;2021-10-17;00:00;0068454;MUNICIPAL OLYMPIQUE MOUGINS;0136082;VITROLLES SPORTS VOLLEY-BALL; 0/2;13-25,13-25;26-50;GYMNASE COLL�GE ROSTAND;LE NOTRE GABRIEL;;
ACJEUNES;01;BMC003;2021-10-17;00:00;0836296;DRAGUIGNAN UNION CLUB VAR VB;0136082;VITROLLES SPORTS VOLLEY-BALL; 2/1;25-23,22-25,15-5;62-53;GYMNASE COLL�GE ROSTAND;LE NOTRE GABRIEL;;
ACJEUNES;01;BMD001;2021-10-17;11:00;0833351;VIDAUBAN VOLLEY-BALL;0833350;VOLLEY PRADETAN GARDEEN; 2/1;25-23,19-25,15-10;59-58;GYMNASE DU COLLEGE PE VICTOR;RICOME LAURENT;;
