Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;MFA001;2021-10-10;11:00;0067686;VOLERO LE CANNET COTE D'AZUR;0067689;US CAGNES VOLLEY-BALL; 2/1;21-25,25-13,15-3;61-41;GYMNASE MAILLAN;COUDYSER MARC-ANTOINE;THODENIUS MICHELLE;
ACJEUNES;01;MFA002;2021-10-10;00:00;0067689;US CAGNES VOLLEY-BALL;0836446;SAINTE-MAXIME COGOLIN VOLLEY; 2/1;25-18,19-25,15-4;59-47;GYMNASE MAILLAN;COUDYSER MARC-ANTOINE;THODENIUS MICHELLE;
ACJEUNES;01;MFA003;2021-10-10;00:00;0067686;VOLERO LE CANNET COTE D'AZUR;0836446;SAINTE-MAXIME COGOLIN VOLLEY; 2/0;25-4,25-15;50-19;GYMNASE MAILLAN;THODENIUS MICHELLE;COUDYSER MARC-ANTOINE;
ACJEUNES;01;MFB001;2021-10-10;11:00;0060008;MANDELIEU LA NAPOULE V.B.;0839557;FREJUS VAR VOLLEY; 0/2;8-25,17-25;25-50;GYMNASE DES MIMOSAS;LUPI CLAUDE;RAMBAUD JORDAN;
ACJEUNES;01;MFB002;2021-10-10;00:00;0839557;FREJUS VAR VOLLEY;0062701;ASS SPORTIVE DE MONACO; 2/0;25-10,25-8;50-18;GYMNASE DES MIMOSAS;RAMBAUD JORDAN;LUPI CLAUDE;
ACJEUNES;01;MFB003;2021-10-10;00:00;0060008;MANDELIEU LA NAPOULE V.B.;0062701;ASS SPORTIVE DE MONACO; 1/2;25-17,14-25,7-15;46-57;GYMNASE DES MIMOSAS;LUPI CLAUDE;RAMBAUD JORDAN;
ACJEUNES;01;MFC001;2021-10-10;11:00;0837903;UNION ATHLETIQUE VALETTOISE;0061297;RACING CLUB DE CANNES; 0/2;0-25,5-25;5-50;SANTONI;ADORA LOIC;GUES MAGALI;
ACJEUNES;01;MFC002;2021-10-10;00:00;0061297;RACING CLUB DE CANNES;0138350;COUDOUX VELAUX LA FARE VOLLEY-BALL; 2/0;25-13,25-11;50-24;SANTONI;ADORA LOIC;GUES MAGALI;
ACJEUNES;01;MFC003;2021-10-10;00:00;0837903;UNION ATHLETIQUE VALETTOISE;0138350;COUDOUX VELAUX LA FARE VOLLEY-BALL; 0/2;10-25,9-25;19-50;SANTONI;ADORA LOIC;GUES MAGALI;
ACJEUNES;01;MFD001;2021-10-10;11:00;0833350;VOLLEY PRADETAN GARDEEN;0132346;MARIGNANE VOLLEY-BALL; 2/0;25-7,25-16;50-23;JACQUES TROIN;LE NOTRE GABRIEL;VAUTRIN LEA;
ACJEUNES;01;MFD002;2021-10-10;00:00;0132346;MARIGNANE VOLLEY-BALL;0136761;ISTRES PROVENCE VOLLEY; 0/2;8-25,16-25;24-50;JACQUES TROIN;LE NOTRE GABRIEL;VAUTRIN LEA;
ACJEUNES;01;MFD003;2021-10-10;00:00;0833350;VOLLEY PRADETAN GARDEEN;0136761;ISTRES PROVENCE VOLLEY; 1/2;25-16,17-25,10-15;52-56;JACQUES TROIN;VAUTRIN LEA;LE NOTRE GABRIEL;
ACJEUNES;01;MFE001;2021-10-10;11:00;0138032;PAYS D'AIX VENELLES V.B.;0837251;VOLLEY BALL OLLIOULAIS; 2/0;25-6,25-10;50-16;HALLE DES SPORTS;MAHJOUBI DOUNIESSE;GHIRARDI CHLOE;
ACJEUNES;01;MFE002;2021-10-10;00:00;0837251;VOLLEY BALL OLLIOULAIS;0848651;VOLLEY BEAUCAIRE TARASCON (LE) GRES; 0/2;15-25,12-25;27-50;HALLE DES SPORTS;GHIRARDI CHLOE;MAHJOUBI DOUNIESSE;
ACJEUNES;01;MFE003;2021-10-10;00:00;0138032;PAYS D'AIX VENELLES V.B.;0848651;VOLLEY BEAUCAIRE TARASCON (LE) GRES; 2/0;25-10,25-12;50-22;HALLE DES SPORTS;MAHJOUBI DOUNIESSE;GHIRARDI CHLOE;
ACJEUNES;01;MFF001;2021-10-10;11:00;0132351;SALON VOLLEY;0138311;BOUC-BEL-AIR VOLLEY-BALL; 1/2;21-25,25-17,13-15;59-57;LURIAN;MBARKI BILAL;HARIOT JORIS;
ACJEUNES;01;MFF002;2021-10-10;00:00;0138311;BOUC-BEL-AIR VOLLEY-BALL;0842404;JONQUIERES VOLLEY-BALL; 0/2;18-25,7-25;25-50;LURIAN;HARIOT JORIS;MBARKI BILAL;
ACJEUNES;01;MFF003;2021-10-10;00:00;0132351;SALON VOLLEY;0842404;JONQUIERES VOLLEY-BALL; 0/2;19-25,10-25;29-50;LURIAN;MBARKI BILAL;HARIOT JORIS;
ACJEUNES;01;MFG001;2021-10-10;11:00;0842425;U.S. PONTET VOLLEY AVENIR;0139148;VOLLEY-BALL ARLESIEN; 2/0;25-4,25-2;50-6;LA GRAVIERE;LLADERES JACQUES;BOURELY AUDREY;
ACJEUNES;01;MFG002;2021-10-10;00:00;0139148;VOLLEY-BALL ARLESIEN;0268573;VOLLEY-BALL ROMANAIS; 0/2;12-25,4-25;16-50;LA GRAVIERE;LLADERES JACQUES;BOURELY AUDREY;
ACJEUNES;01;MFG003;2021-10-10;00:00;0842425;U.S. PONTET VOLLEY AVENIR;0268573;VOLLEY-BALL ROMANAIS; 0/2;26-28,13-25;39-53;LA GRAVIERE;BOURELY AUDREY;LLADERES JACQUES;
ACJEUNES;01;MFH001;2021-10-10;11:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0698769;PAT. LAIQUE VILLETTE PAUL BERT; 2/0;25-3,25-9;50-12;GYMNASE VILLEBOEUF;GOTTAFREY JULIEN;BALANCHE MATHIEU;
ACJEUNES;01;MFH002;2021-10-10;00:00;0698769;PAT. LAIQUE VILLETTE PAUL BERT;0267996;PEYRINS VOLLEY-BALL; 0/2;3-25,9-25;12-50;GYMNASE VILLEBOEUF;GOTTAFREY JULIEN;BALANCHE MATHIEU;
ACJEUNES;01;MFH003;2021-10-10;00:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0267996;PEYRINS VOLLEY-BALL; 2/0;25-8,25-8;50-16;GYMNASE VILLEBOEUF;BALANCHE MATHIEU;GOTTAFREY JULIEN;
ACJEUNES;01;MFI001;2021-10-10;11:00;0634740;VOLLEY BALL CLUB CHAMALIERES;0634293;RIOM VOLLEY-BALL; 0/2;11-25,11-25;22-50;GYMNASE CHATROUSSE;DURAND ANTOINE;COYARD NICOLAS;
ACJEUNES;01;MFI002;2021-10-10;00:00;0634293;RIOM VOLLEY-BALL;0198765;VOLLEY-BALL TULLE NAVES; 2/0;25-14,25-13;50-27;GYMNASE CHATROUSSE;DURAND ANTOINE;;
ACJEUNES;01;MFI003;2021-10-10;00:00;0634740;VOLLEY BALL CLUB CHAMALIERES;0198765;VOLLEY-BALL TULLE NAVES; 1/2;25-21,25-27,10-15;60-63;GYMNASE CHATROUSSE;DURAND ANTOINE;;
ACJEUNES;01;MFJ001;2021-10-10;11:00;0426516;ENTENTE ST-CHAMOND VOLLEY;0699603;ASUL LYON VOLLEY BALL; 2/0;25-8,25-12;50-20;CLAUDE LEBOIS;CHIRAT RODOLPHE;AUBERT JEAN;
ACJEUNES;01;MFJ002;2021-10-10;00:00;0699603;ASUL LYON VOLLEY BALL;0077986;2GVB-GUILHERAND-GRANGES VOLLEY-BALL; 0/2;20-25,14-25;34-50;CLAUDE LEBOIS;CHIRAT RODOLPHE;AUBERT JEAN;
ACJEUNES;01;MFJ003;2021-10-10;00:00;0426516;ENTENTE ST-CHAMOND VOLLEY;0077986;2GVB-GUILHERAND-GRANGES VOLLEY-BALL; 2/0;25-17,25-20;50-37;CLAUDE LEBOIS;AUBERT JEAN;CHIRAT RODOLPHE;
ACJEUNES;01;MFK001;2021-10-10;11:00;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD);0698828;VBC FRANCHEVILLE OUEST LYONNAIS; 2/0;25-8,25-11;50-19;RENE BAILLIEU;GAIGE BRUNO;JOUR LOICK;
ACJEUNES;01;MFK002;2021-10-10;00:00;0698828;VBC FRANCHEVILLE OUEST LYONNAIS;0426381;OLYM FOREZIEN ST CYPRIEN; 2/1;16-25,25-20,15-13;56-58;RENE BAILLIEU;GAIGE BRUNO;JOUR LOICK;
ACJEUNES;01;MFK003;2021-10-10;00:00;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD);0426381;OLYM FOREZIEN ST CYPRIEN; 2/0;25-8,25-16;50-24;RENE BAILLIEU;JOUR LOICK;GAIGE BRUNO;
ACJEUNES;01;MFL001;2021-10-10;10:00;0696380;AS CALUIRE ET CUIRE;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS; 2/0;25-20,25-19;50-39;ANDRE CUZIN;ANDRE JEAN-PIERRE;CADIEU LAURIANE;
ACJEUNES;01;MFL002;2021-10-10;00:00;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS;0387013;UNION AS. SEYSSINOISE V.B.; 0/2;8-25,11-25;19-50;ANDRE CUZIN;CADIEU LAURIANE;ANDRE JEAN-PIERRE;
ACJEUNES;01;MFL003;2021-10-10;00:00;0696380;AS CALUIRE ET CUIRE;0387013;UNION AS. SEYSSINOISE V.B.; 0/2;10-25,12-25;22-50;ANDRE CUZIN;ANDRE JEAN-PIERRE;CADIEU LAURIANE;
ACJEUNES;01;MFM001;2021-10-10;11:00;0698439;FIDESIENNE VOLLEY BALL;0690044;MONTANAY VOLLEY-BALL; 2/0;25-6,25-4;50-10;PLAN DU LOUP;SEGUY NICOLAS;MEUNIER JEREMIE;
ACJEUNES;01;MFM002;2021-10-10;00:00;0690044;MONTANAY VOLLEY-BALL;0388899;UN.SP.VALLEE DE LA GRESSE; 0/2;6-25,10-25;16-50;PLAN DU LOUP;MEUNIER JEREMIE;SEGUY NICOLAS;
ACJEUNES;01;MFM003;2021-10-10;00:00;0698439;FIDESIENNE VOLLEY BALL;0388899;UN.SP.VALLEE DE LA GRESSE; 2/0;25-17,26-24;51-41;PLAN DU LOUP;MEUNIER JEREMIE;SEGUY NICOLAS;
ACJEUNES;01;MFN001;2021-10-10;11:00;0382203;CA VOLLEY BALL JALIOROMAIN;0380027;VOLLEY LA TOUR DU PIN; 2/0;25-16,25-22;50-38;GYMNASE LYCEE LA PLEIADE;PEROTTI MARC;PEROTTI MARC;
ACJEUNES;01;MFN002;2021-10-10;00:00;0380027;VOLLEY LA TOUR DU PIN;0420026;ROANNE RIORGES VOLLEY-BALL; 2/0;25-23,25-12;50-35;GYMNASE LYCEE LA PLEIADE;PEROTTI MARC;;
ACJEUNES;01;MFN003;2021-10-10;00:00;0382203;CA VOLLEY BALL JALIOROMAIN;0420026;ROANNE RIORGES VOLLEY-BALL; 2/0;25-21,25-19;50-40;GYMNASE LYCEE LA PLEIADE;PEROTTI MARC;;
ACJEUNES;01;MFO001;2021-10-10;11:00;0684661;COLMARIENNE VOLLEY;0675289;A.S. VALLEE DE LA SAUER; 0/2;17-25,6-25;23-50;GYMNASE BARRES;GUERY NICOLAS;PAGLIERI JOEL;
