Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;01;2FB001;2023-10-01;14:00;0798259;VOLLEY-BALL PEXINOIS NIORT;;xxxxx;;;;HENRI BARBUSSE;;;
ABCCS;01;2FB002;2023-09-30;18:00;0948308;UNION SPORTIVE DE VILLEJUIF;0788680;AS. SP DE SARTROUVILLE; 3/0;25-14,25-12,25-15;75-41;GYMNASE DANIEL F�RY;BRETON KEVIN;COMBE PHILIPPE;
ABCCS;01;2FB003;2023-10-01;14:00;0330014;J.S.A. BORDEAUX;0920003;UGS VOLLEY SEINE OUEST; P/3;0-25,0-25,0-25;0-75;SALLE MAITRE JEAN;JOUY RICHARD;DESSALLES CLEMENT;
ABCCS;01;2FB004;2023-10-01;14:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0646282;MJC LES FLEURS DE PAU; 3/1;25-16,25-18,21-25,25-20;96-79;PIERRE FAVRE;ALI MOUSSA;GEORGE ALLISTER;
ABCCS;01;2FB005;2023-10-01;16:00;0921672;SAINT-CLOUD PARIS SF 2 CFC;0335197;SPORT ATHLETIQUE MERIGNACAIS; 3/1;25-19,20-25,25-20,27-25;97-89;GYMNASE VERHAEREN;GRAIGNIC JEAN-BAPTISTE;MIRZAK IMAD;
ABCCS;02;2FB006;2023-10-08;16:00;0921672;SAINT-CLOUD PARIS SF 2 CFC;;xxxxx;;;;GYMNASE VERHAEREN;;;
ABCCS;02;2FB007;2023-10-08;14:00;0335197;SPORT ATHLETIQUE MERIGNACAIS;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL; 0/3;13-25,14-25,12-25;39-75;DANIEL COLOMBIER;BERTHELOT MICKAEL;STAN CLAUDIU;
ABCCS;02;2FB008;2023-10-07;20:30;0646282;MJC LES FLEURS DE PAU;0330014;J.S.A. BORDEAUX; 3/2;29-27,18-25,25-22,13-25,15-10;100-109;LEO LAGRANGE;DARQUY DAVID;FLAMMANG EMMA;
ABCCS;02;2FB009;2023-10-07;20:30;0920003;UGS VOLLEY SEINE OUEST;0948308;UNION SPORTIVE DE VILLEJUIF; 0/3;25-27,15-25,19-25;59-77;GYMNASE DES 100 GARDES;TOUSSAINT THOMAS;CARLOTTI PIERRE;
ABCCS;02;2FB010;2023-10-08;16:00;0788680;AS. SP DE SARTROUVILLE;0798259;VOLLEY-BALL PEXINOIS NIORT; 1/3;14-25,20-25,25-23,9-25;68-98;CARNOT;DANGLEANT LILIA;SUILLAUD FABRICE;
ABCCS;03;2FB011;2023-10-22;15:00;;xxxxx;0788680;AS. SP DE SARTROUVILLE;;;;SALLE DU GRAVION;;;
ABCCS;03;2FB012;2023-10-22;14:00;0798259;VOLLEY-BALL PEXINOIS NIORT;0920003;UGS VOLLEY SEINE OUEST; 3/1;25-22,22-25,25-21,25-17;97-85;HENRI BARBUSSE;DUCHENE FREDERIC;THEBAULT VALERIE;
