Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;MMA001;2025-10-05;11:00;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE;0837251;VOLLEY BALL OLLIOULAIS; 0/2;14-25,24-26;38-51;GYMNASE DE COSTEBELLE;SPINELLI VINCENT;LEQUINT MAXIME;
ACJEUNES;01;MMA002;2025-10-05;00:00;0837251;VOLLEY BALL OLLIOULAIS;0132348;MARSEILLE VOLLEY 13; 0/2;16-25,14-25;30-50;GYMNASE DE COSTEBELLE;LEQUINT MAXIME;SPINELLI VINCENT;
ACJEUNES;01;MMA003;2025-10-05;00:00;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE;0132348;MARSEILLE VOLLEY 13; 0/2;15-25,18-25;33-50;GYMNASE DE COSTEBELLE;SPINELLI VINCENT;LEQUINT MAXIME;
ACJEUNES;01;MMB001;2025-10-05;11:00;0784696;AS VOLLEY-BALL VELIZY;0923631;MEUDON CHAVILLE SEVRES VOLLEY; 0/2;11-25,23-25;34-50;JEAN MACE;VIBET THOMAS;JUAN STEPHANE;
ACJEUNES;01;MMB002;2025-10-05;00:00;0923631;MEUDON CHAVILLE SEVRES VOLLEY;0922431;ACBB; 2/0;25-13,25-6;50-19;JEAN MACE;JUAN STEPHANE;VIBET THOMAS;
ACJEUNES;01;MMB003;2025-10-05;00:00;0784696;AS VOLLEY-BALL VELIZY;0922431;ACBB; 2/0;25-18,25-10;50-28;JEAN MACE;VIBET THOMAS;JUAN STEPHANE;
ACJEUNES;01;MMC001;2025-10-05;11:00;0675406;VOLLEY-BALL CLUB STRASBOURG VBCS;0674157;STRASBOURG UNIVERSITE CLUB; 0/2;13-25,22-25;35-50;GYMNASE ADLER;COSSON FREDERIC;SAINTY GERARD;
ACJEUNES;01;MMC002;2025-10-05;00:00;0674157;STRASBOURG UNIVERSITE CLUB;0686625;AS SP ENTREMONT RIXHEIM; 2/0;25-20,25-23;50-43;GYMNASE ADLER;SAINTY GERARD;COSSON FREDERIC;
ACJEUNES;01;MMC003;2025-10-05;00:00;0675406;VOLLEY-BALL CLUB STRASBOURG VBCS;0686625;AS SP ENTREMONT RIXHEIM; 0/2;7-25,18-25;25-50;GYMNASE ADLER;COSSON FREDERIC;SAINTY GERARD;
ACJEUNES;01;MMD001;2025-10-05;11:00;0338871;ENT. SPORTIVE BLANQUEFORTAISE;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL; 0/2;13-25,20-25;33-50;PORT DU ROY;BERGEROT LISA;GHENIMI NOUR'AMIR;
ACJEUNES;01;MMD002;2025-10-05;00:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0406116;BISCARROSSE OLYMPIQUE; 2/0;25-11,25-6;50-17;PORT DU ROY;GHENIMI NOUR'AMIR;BERGEROT LISA;
ACJEUNES;01;MMD003;2025-10-05;00:00;0338871;ENT. SPORTIVE BLANQUEFORTAISE;0406116;BISCARROSSE OLYMPIQUE; 2/0;25-10,25-10;50-20;PORT DU ROY;GHENIMI NOUR'AMIR;BERGEROT LISA;
ACJEUNES;01;MME001;2025-10-05;11:00;0675289;A.S. VALLEE DE LA SAUER;0679843;MOLSHEIM OLYMPIQUE CLUB; 2/0;25-16,25-21;50-37;SALLE DE LA SCIERIE;LOPES EMIE;BORTOLUZZI MICHÈLE;
ACJEUNES;01;MME002;2025-10-05;00:00;0679843;MOLSHEIM OLYMPIQUE CLUB;0579619;ASVB YUTZ THIONVILLE; 0/2;12-25,21-25;33-50;SALLE DE LA SCIERIE;LOPES EMIE;BORTOLUZZI MICHÈLE;
ACJEUNES;01;MME003;2025-10-05;00:00;0675289;A.S. VALLEE DE LA SAUER;0579619;ASVB YUTZ THIONVILLE; 0/2;13-25,22-25;35-50;SALLE DE LA SCIERIE;BORTOLUZZI MICHÈLE;LOPES EMIE;
ACJEUNES;01;MMF001;2025-10-05;10:00;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL;0315117;MURET VOLLEY-BALL; 2/0;25-6,25-8;50-14;GYMNASE JF PUIG;VO QUANG TUYEN DANIEL;PEYRAT GAELLE;
ACJEUNES;01;MMF002;2025-10-05;00:00;0315117;MURET VOLLEY-BALL;0819413;VOLLEY CLUB BASTIDIEN; 0/2;14-25,18-25;32-50;GYMNASE JF PUIG;PEYRAT GAELLE;VO QUANG TUYEN DANIEL;
ACJEUNES;01;MMF003;2025-10-05;00:00;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL;0819413;VOLLEY CLUB BASTIDIEN; 2/0;25-16,25-17;50-33;GYMNASE JF PUIG;VO QUANG TUYEN DANIEL;PEYRAT GAELLE;
ACJEUNES;01;MMG001;2025-10-05;11:00;0170002;DOMPIERRE SUR MER VOLLEY-BALL;0858891;LA ROCHE/YON VOLLEY-BALL; 0/2;8-25,11-25;19-50;GYMNASE DE SAINTE-SOULLE;BRUNO ROBERT;PEREIRA ALIZEE;
ACJEUNES;01;MMG002;2025-10-05;00:00;0858891;LA ROCHE/YON VOLLEY-BALL;0176607;SAINTES VOLLEY-BALL-SVB; 2/0;25-11,25-18;50-29;GYMNASE DE SAINTE-SOULLE;PEREIRA ALIZEE;BRUNO ROBERT;
ACJEUNES;01;MMG003;2025-10-05;00:00;0170002;DOMPIERRE SUR MER VOLLEY-BALL;0176607;SAINTES VOLLEY-BALL-SVB; 0/2;20-25,11-25;31-50;GYMNASE DE SAINTE-SOULLE;BRUNO ROBERT;PEREIRA ALIZEE;
ACJEUNES;01;MMH001;2025-10-05;11:00;0761503;MAROMME CANTELEU VOLLEY 76;0765200;ASPTT ROUEN MSA VB; 2/0;25-7,25-5;50-12;CALMAT;ANJOUY JEREMY;YAHIA AISSA RAMZI;
ACJEUNES;01;MMH002;2025-10-05;00:00;0765200;ASPTT ROUEN MSA VB;0149419;CAEN VOLLEY-BALL; 0/2;20-25,23-25;43-50;CALMAT;ANJOUY JEREMY;YAHIA AISSA RAMZI;
ACJEUNES;01;MMH003;2025-10-05;00:00;0761503;MAROMME CANTELEU VOLLEY 76;0149419;CAEN VOLLEY-BALL; 2/0;25-8,25-9;50-17;CALMAT;YAHIA AISSA RAMZI;ANJOUY JEREMY;
ACJEUNES;01;MMI001;2025-10-05;11:00;0668467;PERPIGNAN ROUSSILLON V.B;0345657;VOLLEY OLYMPIQUE MEZOIS; 0/2;15-25,10-25;25-50;GYMNASE ANDRE ALSINA;CROS JONATHAN;;
ACJEUNES;01;MMI002;2025-10-05;00:00;0345657;VOLLEY OLYMPIQUE MEZOIS;0099513;TARASCON FOIX V.B.; 2/0;25-12,26-24;51-36;GYMNASE ANDRE ALSINA;CROS JONATHAN;;
ACJEUNES;01;MMI003;2025-10-05;00:00;0668467;PERPIGNAN ROUSSILLON V.B;0099513;TARASCON FOIX V.B.; 0/2;17-25,14-25;31-50;GYMNASE ANDRE ALSINA;CROS JONATHAN;;
ACJEUNES;01;MMJ001;2025-10-04;15:00;0440054;ASB.REZE VOLLEY 44;0448821;US BOUGUENAIS VOLLEY-BALL; 2/0;25-9,25-16;50-25;GYMNASE LIBERGE;LEPINAY DAMIEN;FELLER LENA;
ACJEUNES;01;MMJ002;2025-10-04;00:00;0448821;US BOUGUENAIS VOLLEY-BALL;0858359;EVEIL SPORTIF FLORENTIN VOLLEY-BALL; 2/1;25-19,17-25,15-13;57-57;GYMNASE LIBERGE;FELLER LENA;LEPINAY DAMIEN;
ACJEUNES;01;MMJ003;2025-10-04;00:00;0440054;ASB.REZE VOLLEY 44;0858359;EVEIL SPORTIF FLORENTIN VOLLEY-BALL; 2/0;25-12,25-16;50-28;GYMNASE LIBERGE;LEPINAY DAMIEN;FELLER LENA;
ACJEUNES;01;MMK001;2025-10-05;11:00;0839557;FREJUS VAR VOLLEY;0060008;MANDELIEU LA NAPOULE V.B.; 2/0;25-16,25-14;50-30;SAINTE CROIX;HOUMADI SOYFI;HANOTEL CHARLY;
ACJEUNES;01;MMK002;2025-10-05;00:00;0060008;MANDELIEU LA NAPOULE V.B.;0060036;PAYS DE GRASSE VOLLEY-BALL; 2/0;26-24,25-20;51-44;SAINTE CROIX;HANOTEL CHARLY;HOUMADI SOYFI;
ACJEUNES;01;MMK003;2025-10-05;00:00;0839557;FREJUS VAR VOLLEY;0060036;PAYS DE GRASSE VOLLEY-BALL; 2/0;25-16,25-17;50-33;SAINTE CROIX;HANOTEL CHARLY;HOUMADI SOYFI;
ACJEUNES;01;MML001;2025-10-05;11:00;0349271;MONTPELLIER CASTELNAU VOLLEY UNIVERSITE CLUB;0349336;SAINT-GELY VOLLEY-BALL; 2/0;25-19,25-23;50-42;ROMAIN BARRAS;AURELIEN MARIE-EMMANUELLE;COHEN WILFRID;
ACJEUNES;01;MML002;2025-10-05;00:00;0349336;SAINT-GELY VOLLEY-BALL;0134290;MARTIGUES VOLLEY-BALL; 2/0;25-12,25-12;50-24;ROMAIN BARRAS;AURELIEN MARIE-EMMANUELLE;COHEN WILFRID;
ACJEUNES;01;MML003;2025-10-05;00:00;0349271;MONTPELLIER CASTELNAU VOLLEY UNIVERSITE CLUB;0134290;MARTIGUES VOLLEY-BALL; 2/0;25-14,25-23;50-37;ROMAIN BARRAS;COHEN WILFRID;AURELIEN MARIE-EMMANUELLE;
ACJEUNES;01;MMM001;2025-10-05;10:00;0750043;SPORTING CLUB NORD PARISIEN;0931960;PANTIN VOLLEY; 0/2;13-25,22-25;35-50;JULES LADOUMEGUE;LARA COTILLA LEANDRO;;
ACJEUNES;01;MMM002;2025-10-05;00:00;0931960;PANTIN VOLLEY;0758425;PARIS VOLLEY CLUB; 2/0;25-13,25-15;50-28;JULES LADOUMEGUE;LARA COTILLA LEANDRO;;
