Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;05;MMA013;2023-02-19;11:00;0114939;NARBONNE VOLLEY;0640001;LESCAR PROMOTION VOLLEY-BALL; 1/2;25-27,26-24,10-15;61-66;PALAIS DU TRAVAIL;STAN CLAUDIU;BONNET DAVID;;
ACJEUNES;05;MMA014;2023-02-19;00:00;0640001;LESCAR PROMOTION VOLLEY-BALL;0695668;VOLLEY BRON @ LYON LUMIERE; 2/0;25-9,25-15;50-24;PALAIS DU TRAVAIL;BONNET DAVID;STAN CLAUDIU;;
ACJEUNES;05;MMA015;2023-02-19;00:00;0114939;NARBONNE VOLLEY;0695668;VOLLEY BRON @ LYON LUMIERE; 2/0;25-10,25-12;50-22;PALAIS DU TRAVAIL;STAN CLAUDIU;BONNET DAVID;;
ACJEUNES;05;MMB013;2023-02-19;11:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0836296;DRAGUIGNAN UNION CLUB VAR VB; 2/0;26-24,25-20;51-44;SALLE RENE FRIARD;CHAMOT DAMIEN;RAMBAUD JORDAN;;
ACJEUNES;05;MMB014;2023-02-19;00:00;0836296;DRAGUIGNAN UNION CLUB VAR VB;0693332;V.B. VILLEFRANCHE BEAUJOLAIS; 2/0;25-18,25-14;50-32;SALLE RENE FRIARD;CHAMOT DAMIEN;RAMBAUD JORDAN;;
ACJEUNES;05;MMB015;2023-02-19;00:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0693332;V.B. VILLEFRANCHE BEAUJOLAIS; 2/0;25-19,25-13;50-32;SALLE RENE FRIARD;RAMBAUD JORDAN;CHAMOT DAMIEN;;
ACJEUNES;05;MMC013;2023-02-19;11:00;0132348;MARSEILLE VOLLEY 13;0839557;FREJUS VAR VOLLEY; 0/2;18-25,19-25;37-50;GYMNASE DE LA ROSE FUVEAU;CAYRIER MORGAN;BOULBES ALICE;;
ACJEUNES;05;MMC014;2023-02-19;00:00;0839557;FREJUS VAR VOLLEY;0428393;VB POUILLY SAINT-NIZIER; 2/0;25-19,25-8;50-27;GYMNASE DE LA ROSE FUVEAU;BOULBES ALICE;CAYRIER MORGAN;;
ACJEUNES;05;MMC015;2023-02-19;00:00;0132348;MARSEILLE VOLLEY 13;0428393;VB POUILLY SAINT-NIZIER; 2/0;25-14,25-14;50-28;GYMNASE DE LA ROSE FUVEAU;CAYRIER MORGAN;BOULBES ALICE;;
ACJEUNES;05;MMD013;2023-02-19;11:00;0132346;MARIGNANE VOLLEY-BALL;0842425;U.S. PONTET VOLLEY AVENIR; 2/0;25-23,25-19;50-42;CARESTIER;GURRIET GILLES;MOUDACHE LYES;;
ACJEUNES;05;MMD014;2023-02-19;00:00;0842425;U.S. PONTET VOLLEY AVENIR;0744930;ANNEMASSE VOLLEY 74; 2/0;25-19,25-19;50-38;CARESTIER;GURRIET GILLES;MOUDACHE LYES;;
ACJEUNES;05;MMD015;2023-02-19;00:00;0132346;MARIGNANE VOLLEY-BALL;0744930;ANNEMASSE VOLLEY 74; 2/0;25-23,25-18;50-41;CARESTIER;MOUDACHE LYES;GURRIET GILLES;;
ACJEUNES;05;MME013;2023-02-19;11:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0345002;ASBAM MONTPELLIER; 0/2;12-25,19-25;31-50;GEORGES CL�MENCEAU;VANDENBOSSCHE ENGUERRAN;JAVANSHIR MASSOUD;;
ACJEUNES;05;MME014;2023-02-19;00:00;0345002;ASBAM MONTPELLIER;0136082;VITROLLES SPORTS VOLLEY-BALL; 2/0;25-18,25-18;50-36;GEORGES CL�MENCEAU;JAVANSHIR MASSOUD;VANDENBOSSCHE ENGUERRAN;;
ACJEUNES;05;MME015;2023-02-19;00:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0136082;VITROLLES SPORTS VOLLEY-BALL; 0/2;20-25,19-25;39-50;GEORGES CL�MENCEAU;VANDENBOSSCHE ENGUERRAN;JAVANSHIR MASSOUD;;
ACJEUNES;05;MMF013;2023-02-19;11:00;0307732;NIMES VOLLEY-BALL;0060007;AS CANNES VOLLEY-BALL; 2/0;25-17,25-20;50-37;GASTON LESSUT;MARSAL JULIEN;SAADOUNE ABDELHAK;;
ACJEUNES;05;MMF014;2023-02-19;00:00;0060007;AS CANNES VOLLEY-BALL;0929372;PLESSIS-ROBINSON VOLLEY-BALL; 0/2;11-25,8-25;19-50;GASTON LESSUT;MARSAL JULIEN;SAADOUNE ABDELHAK;;
ACJEUNES;05;MMF015;2023-02-19;00:00;0307732;NIMES VOLLEY-BALL;0929372;PLESSIS-ROBINSON VOLLEY-BALL; 0/2;15-25,12-25;27-50;GASTON LESSUT;SAADOUNE ABDELHAK;MARSAL JULIEN;;
ACJEUNES;05;MMG013;2023-02-19;11:00;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL;0686394;VBC KINGERSHEIM; 0/2;16-25,13-25;29-50;COMPLEXE CAMILLE MATHIEU;POLET BRUNO;CHARRAQ ISCIANE;;
ACJEUNES;05;MMG014;2023-02-19;00:00;0686394;VBC KINGERSHEIM;0622126;HARNES VOLLEY-BALL; 2/0;25-20,25-18;50-38;COMPLEXE CAMILLE MATHIEU;CHARRAQ ISCIANE;POLET BRUNO;;
ACJEUNES;05;MMG015;2023-02-19;00:00;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL;0622126;HARNES VOLLEY-BALL; 1/2;15-25,25-16,4-15;44-56;COMPLEXE CAMILLE MATHIEU;POLET BRUNO;CHARRAQ ISCIANE;;
ACJEUNES;05;MMH013;2023-02-19;11:00;0628128;LOISIRS INTER SPORT ST PIERRE;0595712;VOLLEY CLUB SAINT POLOIS; 2/0;25-19,28-26;53-45;SALLE QUINET;MALVETTI TONI;VASSEUR DAVID;;
