Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;02;CMA004;2022-11-13;09:00;0062509;OLYMPIQUES ANTIBES JUAN PINS;0839557;FREJUS VAR VOLLEY; 0/2;7-25,8-25;15-50;BERTONE;CAUET LAURENT;;;
ACJEUNES;02;CMA005;2022-11-13;00:00;0839557;FREJUS VAR VOLLEY;0062701;ASS SPORTIVE DE MONACO; 2/0;25-12,25-10;50-22;BERTONE;CAUET LAURENT;;;
ACJEUNES;02;CMA006;2022-11-13;00:00;0062509;OLYMPIQUES ANTIBES JUAN PINS;0062701;ASS SPORTIVE DE MONACO; 1/2;19-25,28-26,9-15;56-66;BERTONE;CAUET LAURENT;;;
ACJEUNES;02;CMB004;2022-11-13;11:00;0833350;VOLLEY PRADETAN GARDEEN;0060036;PAYS DE GRASSE VOLLEY-BALL; 0/2;16-25,16-25;32-50;JACQUES TROIN;MONTAGNESE OLIVIER;LE NOTRE GABRIEL;;
ACJEUNES;02;CMB005;2022-11-13;00:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0066927;NICE VOLLEY-BALL; 2/0;25-12,25-20;50-32;JACQUES TROIN;LE NOTRE GABRIEL;MONTAGNESE OLIVIER;;
ACJEUNES;02;CMB006;2022-11-13;00:00;0833350;VOLLEY PRADETAN GARDEEN;0066927;NICE VOLLEY-BALL; 2/0;25-20,25-11;50-31;JACQUES TROIN;MONTAGNESE OLIVIER;LE NOTRE GABRIEL;;
ACJEUNES;02;CMC004;2022-11-13;10:00;0132348;MARSEILLE VOLLEY 13;0837251;VOLLEY BALL OLLIOULAIS; 2/0;25-12,25-18;50-30;GYMNASE DE LA ROSE FUVEAU;ROSSELLO REMY;GUEVENOUX MICHEL;;
ACJEUNES;02;CMC005;2022-11-13;00:00;0837251;VOLLEY BALL OLLIOULAIS;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE; 0/2;11-25,17-25;28-50;GYMNASE DE LA ROSE FUVEAU;ROSSELLO REMY;GUEVENOUX MICHEL;;
ACJEUNES;02;CMC006;2022-11-13;00:00;0132348;MARSEILLE VOLLEY 13;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE; 2/1;21-25,25-20,15-11;61-56;GYMNASE DE LA ROSE FUVEAU;GUEVENOUX MICHEL;ROSSELLO REMY;;
ACJEUNES;02;CMD004;2022-11-13;10:00;02A5803;GFCA VOLLEY-BALL;0060007;AS CANNES VOLLEY-BALL; 0/2;10-25,12-25;22-50;HALLE DES SPORTS DE PIETROSELL;BRANCA PHILIPPE;MELI MARIE-ANGE;;
ACJEUNES;02;CMD005;2022-11-13;00:00;0060007;AS CANNES VOLLEY-BALL;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL; 2/0;25-9,25-8;50-17;HALLE DES SPORTS DE PIETROSELL;BRANCA PHILIPPE;MELI MARIE-ANGE;;
ACJEUNES;02;CMD006;2022-11-13;00:00;02A5803;GFCA VOLLEY-BALL;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL; 2/0;25-23,25-15;50-38;HALLE DES SPORTS DE PIETROSELL;BRANCA PHILIPPE;MELI MARIE-ANGE;;
ACJEUNES;02;CME004;2022-11-13;11:00;0132351;SALON VOLLEY;0132346;MARIGNANE VOLLEY-BALL; 0/2;19-25,14-25;33-50;LURIAN;M'BARKI BILAL;NYABEYE JEAN-JUNIOR;;
ACJEUNES;02;CME005;2022-11-13;00:00;0132346;MARIGNANE VOLLEY-BALL;0842425;U.S. PONTET VOLLEY AVENIR; 2/0;25-15,25-20;50-35;LURIAN;M'BARKI BILAL;NYABEYE JEAN-JUNIOR;;
ACJEUNES;02;CME006;2022-11-13;00:00;0132351;SALON VOLLEY;0842425;U.S. PONTET VOLLEY AVENIR; 2/0;27-25,25-21;52-46;LURIAN;NYABEYE JEAN-JUNIOR;M'BARKI BILAL;;
ACJEUNES;02;CMF004;2022-11-13;11:00;0344410;ASLJCROIX ARGENT MONTPELLIER;0139148;VOLLEY-BALL ARLESIEN; 2/0;25-23,25-23;50-46;GYMNASE ALAIN COLAS;BELABED SARAH;STAES AURÉLIEN;;
ACJEUNES;02;CMF005;2022-11-13;00:00;0139148;VOLLEY-BALL ARLESIEN;0849721;DETENTE VERTICALE VEDENAISE; 2/1;25-12,19-25,15-11;59-48;GYMNASE ALAIN COLAS;BELABED SARAH;STAES AURÉLIEN;;
ACJEUNES;02;CMF006;2022-11-13;00:00;0344410;ASLJCROIX ARGENT MONTPELLIER;0849721;DETENTE VERTICALE VEDENAISE; 2/0;25-11,25-10;50-21;GYMNASE ALAIN COLAS;STAES AURÉLIEN;BELABED SARAH;;
ACJEUNES;02;CMG004;2022-11-13;11:00;0269591;AS.SP.LA MOTTE VOLLEY;0429687;CLUB ATHLETIQUE DE ST ETIENNE; 0/2;15-25,8-25;23-50;GYMNASE/SALLE POLYVALENTE;TELLES FLORIAN;NAZE NICOLAS;;
ACJEUNES;02;CMG005;2022-11-13;00:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0426457;C.O. SMASHEURS MONTBRISON V.B.; 2/0;25-18,25-18;50-36;GYMNASE/SALLE POLYVALENTE;NAZE NICOLAS;TELLES FLORIAN;;
ACJEUNES;02;CMG006;2022-11-13;00:00;0269591;AS.SP.LA MOTTE VOLLEY;0426457;C.O. SMASHEURS MONTBRISON V.B.; 0/2;11-25,19-25;30-50;GYMNASE/SALLE POLYVALENTE;TELLES FLORIAN;NAZE NICOLAS;;
ACJEUNES;02;CMH004;2022-11-13;11:00;0690033;CLUB OMNISPORTS DE SAINT-FONS;0429072;VOLLEY BALL VILLARS; 0/2;18-25,11-25;29-50;FRISON ROCHE;GONTHIER GUILLAUME;LEWANDOWSKI YANN;;
ACJEUNES;02;CMH005;2022-11-13;00:00;0429072;VOLLEY BALL VILLARS;0385990;US ST EGREVOISE; 0/2;7-25,13-25;20-50;FRISON ROCHE;LEWANDOWSKI YANN;GONTHIER GUILLAUME;;
ACJEUNES;02;CMH006;2022-11-13;00:00;0690033;CLUB OMNISPORTS DE SAINT-FONS;0385990;US ST EGREVOISE; 0/2;4-25,6-25;10-50;FRISON ROCHE;LEWANDOWSKI YANN;GONTHIER GUILLAUME;;
ACJEUNES;02;CMI004;2022-11-13;11:00;0382201;GRENOBLE V.UNIVERSITE CLUB;0264654;VALENCE ACE; 2/0;25-10,25-12;50-22;MALHERBE;ESPINAL MIGUELANGEL;TANLET GERARD;;
ACJEUNES;02;CMI005;2022-11-13;00:00;0264654;VALENCE ACE;0745091;ANNECY VOLLEY BALL; 0/2;12-25,19-25;31-50;MALHERBE;ESPINAL MIGUELANGEL;TANLET GERARD;;
ACJEUNES;02;CMI006;2022-11-13;00:00;0382201;GRENOBLE V.UNIVERSITE CLUB;0745091;ANNECY VOLLEY BALL; 2/0;25-20,25-13;50-33;MALHERBE;TANLET GERARD;ESPINAL MIGUELANGEL;;
ACJEUNES;02;CMJ004;2022-11-13;11:00;0698752;CLUB SPORTIF DE DECINES;0699603;ASUL LYON VOLLEY BALL; 0/2;12-25,9-25;21-50;GYMNASE BECQUEREL;HORT CLARISSE;JOUR LOICK;;
ACJEUNES;02;CMJ005;2022-11-13;00:00;0699603;ASUL LYON VOLLEY BALL;0698828;VBC FRANCHEVILLE OUEST LYONNAIS; 2/0;25-14,25-18;50-32;GYMNASE BECQUEREL;JOUR LOICK;HORT CLARISSE;;
ACJEUNES;02;CMJ006;2022-11-13;00:00;0698752;CLUB SPORTIF DE DECINES;0698828;VBC FRANCHEVILLE OUEST LYONNAIS; 2/0;25-17,25-22;50-39;GYMNASE BECQUEREL;HORT CLARISSE;JOUR LOICK;;
ACJEUNES;02;CMK004;2022-11-13;11:00;0744930;ANNEMASSE VOLLEY 74;0015366;VOLLEY CLUB MEXIMIEUX; 0/2;17-25,15-25;32-50;DES GLIERES;BESSEAU GUILLAUME;BIGANT JEAN-FRANCOIS;;
ACJEUNES;02;CMK005;2022-11-13;00:00;0015366;VOLLEY CLUB MEXIMIEUX;0693938;CLUB RHODIA VAISE; 2/0;25-18,25-13;50-31;DES GLIERES;BIGANT JEAN-FRANCOIS;BESSEAU GUILLAUME;;
ACJEUNES;02;CMK006;2022-11-13;00:00;0744930;ANNEMASSE VOLLEY 74;0693938;CLUB RHODIA VAISE; 2/0;25-18,26-24;51-42;DES GLIERES;BESSEAU GUILLAUME;BIGANT JEAN-FRANCOIS;;
ACJEUNES;02;CML004;2022-11-13;11:00;0695668;VOLLEY BRON @ LYON LUMIERE;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD); 0/2;19-25,16-25;35-50;KENNEDY;GLADINES VIKSHA-ALIX;DEVIENNE CHRISTOPHE;;
ACJEUNES;02;CML005;2022-11-13;00:00;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD);0380027;VOLLEY LA TOUR DU PIN; 2/0;25-13,25-23;50-36;KENNEDY;DEVIENNE CHRISTOPHE;GLADINES VIKSHA-ALIX;;
ACJEUNES;02;CML006;2022-11-13;00:00;0695668;VOLLEY BRON @ LYON LUMIERE;0380027;VOLLEY LA TOUR DU PIN; 2/0;25-13,25-16;50-29;KENNEDY;GLADINES VIKSHA-ALIX;DEVIENNE CHRISTOPHE;;
ACJEUNES;02;CMM004;2022-11-13;11:00;0714053;VOLLEY CLUB MACONNAIS;0428393;VB POUILLY SAINT-NIZIER; 2/0;25-10,25-14;50-24;PALAIS DES SPORTS;JAMET DIDIER;SCHMIDT KILLIAN;;
ACJEUNES;02;CMM005;2022-11-13;00:00;0428393;VB POUILLY SAINT-NIZIER;0255795;BESANCON VOLLEY-BALL; 0/2;23-25,13-25;36-50;PALAIS DES SPORTS;JAMET DIDIER;SCHMIDT KILLIAN;;
ACJEUNES;02;CMM006;2022-11-13;00:00;0714053;VOLLEY CLUB MACONNAIS;0255795;BESANCON VOLLEY-BALL; 2/0;25-16,25-20;50-36;PALAIS DES SPORTS;SCHMIDT KILLIAN;JAMET DIDIER;;
ACJEUNES;02;CMN004;2022-11-13;11:00;0216180;VOLLEY CLUB CHENOVE;0255807;ASPTT BESANCON; 0/2;21-25,17-25;38-50;GYMNASE LE CHAPITRE;RIBOULET SEBASTIEN;FROMENTIN DIDIER;;
ACJEUNES;02;CMN005;2022-11-13;00:00;0255807;ASPTT BESANCON;0693332;V.B. VILLEFRANCHE BEAUJOLAIS; 0/2;9-25,7-25;16-50;GYMNASE LE CHAPITRE;FROMENTIN DIDIER;RIBOULET SEBASTIEN;;
ACJEUNES;02;CMN006;2022-11-13;00:00;0216180;VOLLEY CLUB CHENOVE;0693332;V.B. VILLEFRANCHE BEAUJOLAIS; 0/2;4-25,12-25;16-50;GYMNASE LE CHAPITRE;RIBOULET SEBASTIEN;FROMENTIN DIDIER;;
ACJEUNES;02;CMO004;2022-11-13;11:00;0675406;VOLLEY-BALL CLUB STRASBOURG VBCS;0686394;VBC KINGERSHEIM; 0/2;12-25,10-25;22-50;JEAN NICOLAS MULLER 1;HAOUARI MALEK;KRAUTH ANTOINE;;
ACJEUNES;02;CMO005;2022-11-13;00:00;0686394;VBC KINGERSHEIM;0884751;ASS SPORTIVE DE GERARDMER; 2/1;25-13,22-25,15-10;62-48;JEAN NICOLAS MULLER 1;KRAUTH ANTOINE;HAOUARI MALEK;;
ACJEUNES;02;CMO006;2022-11-13;00:00;0675406;VOLLEY-BALL CLUB STRASBOURG VBCS;0884751;ASS SPORTIVE DE GERARDMER; 0/2;20-25,23-25;43-50;JEAN NICOLAS MULLER 1;KRAUTH ANTOINE;HAOUARI MALEK;;
ACJEUNES;02;CMP004;2022-11-13;11:00;0885362;STADE ATHLETIQUE SPINALIEN;0906468;ASM BELFORT VOLLEY-BALL; 2/1;21-25,25-18,15-8;61-51;VIVIANI;MAUBE HUET EVAN;RANDY MATTÉO;;
ACJEUNES;02;CMP005;2022-11-13;00:00;0906468;ASM BELFORT VOLLEY-BALL;0685479;UNION SPORTIVE MULHOUSE VOLLEY; 0/2;22-25,21-25;43-50;VIVIANI;MAUBE HUET EVAN;RANDY MATTÉO;;
ACJEUNES;02;CMP006;2022-11-13;00:00;0885362;STADE ATHLETIQUE SPINALIEN;0685479;UNION SPORTIVE MULHOUSE VOLLEY; 2/0;25-21,25-18;50-39;VIVIANI;RANDY MATTÉO;MAUBE HUET EVAN;;
ACJEUNES;02;CMQ004;2022-11-13;11:00;0542783;GRAND NANCY VOLLEY-BALL;0524003;CLUB OLYMPIQUE SAINT-DIZIER VOLLEY-BALL; 0/2;11-25,13-25;24-50;GYMNASE ALFRED MEZIERES;PEYRICHOU HUGO;CHABI SAMI;;
ACJEUNES;02;CMQ005;2022-11-13;00:00;0524003;CLUB OLYMPIQUE SAINT-DIZIER VOLLEY-BALL;0674157;STRASBOURG UNIVERSITE CLUB; 0/2;15-25,15-25;30-50;GYMNASE ALFRED MEZIERES;PEYRICHOU HUGO;CHABI SAMI;;
ACJEUNES;02;CMQ006;2022-11-13;00:00;0542783;GRAND NANCY VOLLEY-BALL;0674157;STRASBOURG UNIVERSITE CLUB; 0/2;12-25,19-25;31-50;GYMNASE ALFRED MEZIERES;PEYRICHOU HUGO;CHABI SAMI;;
ACJEUNES;02;CMR004;2022-11-13;10:00;0544386;UNION SPORTIVE DU JARNISY;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL; 0/2;9-25,21-25;30-50;AUGUSTE DELAUNE;LAHIRE DENIS;GODINEAU ROMAIN;;
ACJEUNES;02;CMR005;2022-11-13;00:00;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL;0510012;REIMS METROPOLE VOLLEY; 2/0;25-11,25-12;50-23;AUGUSTE DELAUNE;GODINEAU ROMAIN;LAHIRE DENIS;;
ACJEUNES;02;CMR006;2022-11-13;00:00;0544386;UNION SPORTIVE DU JARNISY;0510012;REIMS METROPOLE VOLLEY; 2/0;25-17,25-16;50-33;AUGUSTE DELAUNE;LAHIRE DENIS;GODINEAU ROMAIN;;
ACJEUNES;02;CMS004;2022-11-13;11:00;0596135;VOLLEY CLUB DE CAMBRAI;0590018;VOLLEY BALL LE QUESNOY; 2/1;24-26,25-18,15-9;64-53;GYMNASE PASTEUR;TISON PAUL-HENRI;;;
ACJEUNES;02;CMS005;2022-11-13;00:00;0590018;VOLLEY BALL LE QUESNOY;0027343;VILLERS COTTERETS VOLLEY-BALL; 0/2;15-25,13-25;28-50;GYMNASE PASTEUR;TISON PAUL-HENRI;;;
ACJEUNES;02;CMS006;2022-11-13;00:00;0596135;VOLLEY CLUB DE CAMBRAI;0027343;VILLERS COTTERETS VOLLEY-BALL; 0/2;18-25,15-25;33-50;GYMNASE PASTEUR;TISON PAUL-HENRI;;;
ACJEUNES;02;CMT004;2022-11-13;11:00;0608712;COMPIEGNE VOLLEY;0028567;F.L. ST QUENTIN VOLLEY-BALL; 2/1;25-15,24-26,15-11;64-52;GYMNASE FERDINAND BAC;DURIEUX YANNICK;;;
ACJEUNES;02;CMT005;2022-11-13;00:00;0028567;F.L. ST QUENTIN VOLLEY-BALL;0599408;VOLLEY-BALL CLUB CYSOING; 2/0;25-19,25-22;50-41;GYMNASE FERDINAND BAC;DURIEUX YANNICK;;;
ACJEUNES;02;CMT006;2022-11-13;00:00;0608712;COMPIEGNE VOLLEY;0599408;VOLLEY-BALL CLUB CYSOING; 2/0;25-21,25-20;50-41;GYMNASE FERDINAND BAC;DURIEUX YANNICK;;;
ACJEUNES;02;CMU004;2022-11-13;11:00;0595763;VOLLEY BALL CLUB WATTIGNIES;0628128;LOISIRS INTER SPORT ST PIERRE; 0/2;20-25,12-25;32-50;PIERRE DE COUBERTIN;LE GODEC BRIGITTE;;;
ACJEUNES;02;CMU005;2022-11-13;00:00;0628128;LOISIRS INTER SPORT ST PIERRE;0607729;BEAUVAIS OISE UC VOLLEY; 2/0;25-16,25-16;50-32;PIERRE DE COUBERTIN;LE GODEC BRIGITTE;;;
