Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;08;CMA022;2023-04-30;11:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0757777;PUC VOLLEY-BALL; 1/2;25-27,26-24,14-16;65-67;PIERRE FAVRE;STRENS JULIEN;BRANDELON DOMINIQUE;;
ACJEUNES;08;CMA023;2023-04-30;00:00;0757777;PUC VOLLEY-BALL;0060036;PAYS DE GRASSE VOLLEY-BALL; 2/1;25-14,16-25,15-9;56-48;PIERRE FAVRE;BRANDELON DOMINIQUE;STRENS JULIEN;;
ACJEUNES;08;CMA024;2023-04-30;00:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0060036;PAYS DE GRASSE VOLLEY-BALL; 2/0;25-21,28-26;53-47;PIERRE FAVRE;STRENS JULIEN;BRANDELON DOMINIQUE;;
ACJEUNES;08;CMB022;2023-04-16;11:00;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD); 2/0;25-13,25-14;50-27;PALAIS DES SPORTS ANDRE BROUAT;JOUY RICHARD;VO QUANG TUYEN DANIEL;;
ACJEUNES;08;CMB023;2023-04-16;00:00;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD);0442477;AILES SP BOUGUENAIS REZE; 1/2;25-19,12-25,5-15;42-59;PALAIS DES SPORTS ANDRE BROUAT;JOUY RICHARD;VO QUANG TUYEN DANIEL;;
ACJEUNES;08;CMB024;2023-04-16;00:00;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL;0442477;AILES SP BOUGUENAIS REZE; 2/0;25-22,25-13;50-35;PALAIS DES SPORTS ANDRE BROUAT;VO QUANG TUYEN DANIEL;JOUY RICHARD;;
ACJEUNES;08;CMC022;2023-04-29;10:00;0839557;FREJUS VAR VOLLEY;0921672;SAINT-CLOUD PARIS SF; 1/2;22-25,28-26,12-15;62-66;HALLE DES PORTS SAINT CROIX;LEQUINT MAXIME;RICOME LAURENT;;
ACJEUNES;08;CMC023;2023-04-29;00:00;0921672;SAINT-CLOUD PARIS SF;0599848;DUNKERQUE GRAND LITTORAL V.B.; 2/0;25-23,25-17;50-40;HALLE DES PORTS SAINT CROIX;RICOME LAURENT;LEQUINT MAXIME;;
ACJEUNES;08;CMC024;2023-04-29;00:00;0839557;FREJUS VAR VOLLEY;0599848;DUNKERQUE GRAND LITTORAL V.B.; 2/0;25-16,26-24;51-40;HALLE DES PORTS SAINT CROIX;LEQUINT MAXIME;RICOME LAURENT;;
ACJEUNES;08;CMD022;2023-04-30;11:00;0674157;STRASBOURG UNIVERSITE CLUB;0355169;VOLLEY BALL CLUB MALOUIN; 2/0;25-12,25-14;50-26;AGR;MANSUY DONATIEN;HERRMANN EMILE;;
ACJEUNES;08;CMD023;2023-04-30;00:00;0355169;VOLLEY BALL CLUB MALOUIN;0060007;AS CANNES VOLLEY-BALL; 0/2;20-25,20-25;40-50;AGR;HERRMANN EMILE;MANSUY DONATIEN;;
ACJEUNES;08;CMD024;2023-04-30;00:00;0674157;STRASBOURG UNIVERSITE CLUB;0060007;AS CANNES VOLLEY-BALL; 1/2;19-25,25-23,7-15;51-63;AGR;MANSUY DONATIEN;HERRMANN EMILE;;
ACJEUNES;08;CME022;2023-04-16;11:00;0622126;HARNES VOLLEY-BALL;0929372;PLESSIS-ROBINSON VOLLEY-BALL; 2/0;25-12,25-22;50-34;SALLE RÉGIONALE MARÉCHAL;KERCKHOVE VINCENT;MIRZAK IMAD;;
ACJEUNES;08;CME023;2023-04-16;00:00;0929372;PLESSIS-ROBINSON VOLLEY-BALL;0640001;LESCAR PROMOTION VOLLEY-BALL; 2/0;25-23,25-20;50-43;SALLE RÉGIONALE MARÉCHAL;KERCKHOVE VINCENT;MIRZAK IMAD;;
ACJEUNES;08;CME024;2023-04-16;00:00;0622126;HARNES VOLLEY-BALL;0640001;LESCAR PROMOTION VOLLEY-BALL; 2/0;25-14,25-19;50-33;SALLE RÉGIONALE MARÉCHAL;MIRZAK IMAD;KERCKHOVE VINCENT;;
