Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;01;2FA001;2023-10-01;15:00;0136761;ISTRES PROVENCE VOLLEY;0319689;A.S. DE L'UNION VOLLEY-BALL; 3/2;25-14,22-25,25-18,22-25,15-10;109-92;GYMNASE PAUL CAVALLONI;HERRERA JEAN-MARC;HADID MARIE-CHRISTINE;
ABCCS;01;2FA002;2023-10-01;15:00;0062701;ASS SPORTIVE DE MONACO;0348292;VOLLEY BALL DE GIGNAC; 3/0;25-21,25-19,25-14;75-54;MONEGHETTI;HANOTEL PHILIPPE;PHLIPONEAU BORIS;
ABCCS;01;2FA003;2023-09-30;18:00;0061297;RACING CLUB DE CANNES 2 CFC;0817326;CASTRES MASSAGUEL VOLLEY BALL CLUB; 3/0;25-14,25-16,25-10;75-40;PALAIS DES VICTOIRES;GALANT PHILIPPE;HANOTEL CHRISTINE;
ABCCS;01;2FA004;2023-10-01;14:30;0349150;LATTES ASPTT MONTPELLIER V.A.C;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE; 3/2;25-18,26-24,20-25,22-25,15-10;108-102;BRIGITTE GEILER;LARTIGUE PHILIPPE;KRELIFA BRAHIM;
ABCCS;01;2FA005;2023-10-01;15:00;0138032;PAYS D'AIX VENELLES V.B. 2;0067686;VOLERO LE CANNET COTE D'AZUR 2 CFC; 3/0;25-15,25-22,25-23;75-60;HALLE DES SPORTS;SIEGL FREDERIC;LATIGE STEPHANE;
ABCCS;02;2FA006;2023-10-08;15:00;0138032;PAYS D'AIX VENELLES V.B. 2;0319689;A.S. DE L'UNION VOLLEY-BALL; 3/1;25-15,26-24,18-25,28-26;97-90;HALLE DES SPORTS;SIEGL FREDERIC;HUMBERT RIDET DYLAN;
ABCCS;02;2FA007;2023-10-08;14:00;0067686;VOLERO LE CANNET COTE D'AZUR 2 CFC;0349150;LATTES ASPTT MONTPELLIER V.A.C; 3/0;25-18,26-24,25-16;76-58;MAILLAN;GALANT PHILIPPE;LESAIN FROMENTIN LAETITIA;
ABCCS;02;2FA008;2023-10-07;18:00;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE;0061297;RACING CLUB DE CANNES 2 CFC; 1/3;20-25,22-25,25-19,14-25;81-94;GYMNASE DE COSTEBELLE;VERDU FREDERIC;CHOINARD MICHAEL;
ABCCS;02;2FA009;2023-10-07;20:30;0817326;CASTRES MASSAGUEL VOLLEY BALL CLUB;0062701;ASS SPORTIVE DE MONACO; 0/3;20-25,16-25,23-25;59-75;COSEC RENE FERRAN;REQUEDA SYLVAIN;YAFFA AMARA;
ABCCS;02;2FA010;2023-10-08;15:00;0348292;VOLLEY BALL DE GIGNAC;0136761;ISTRES PROVENCE VOLLEY; 2/3;21-25,17-25,30-28,25-17,12-15;105-110;HALLE DE SPORTS GILLES FERMAUD;LATIGE STEPHANE;TRONET ENGUERRAND;
ABCCS;03;2FA011;2023-10-22;14:00;0319689;A.S. DE L'UNION VOLLEY-BALL;0348292;VOLLEY BALL DE GIGNAC; 3/1;20-25,25-21,25-19,25-12;95-77;C300;GOZLAN STEPHANE;LEGRAND OLIVIER;
ABCCS;03;2FA012;2023-10-22;15:00;0136761;ISTRES PROVENCE VOLLEY;0817326;CASTRES MASSAGUEL VOLLEY BALL CLUB; 0/3;22-25,20-25,25-27;67-77;GYMNASE PAUL CAVALLONI;REJAEYAN EHSAN;EKWA NGANGNANG WILLY;
ABCCS;03;2FA013;2023-10-22;15:00;0062701;ASS SPORTIVE DE MONACO;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE; 3/1;25-15,25-11,21-25,25-20;96-71;MONEGHETTI;BLANC EMMANUEL;RAT BENJAMIN;
ABCCS;03;2FA014;2023-10-22;14:00;0061297;RACING CLUB DE CANNES 2 CFC;0067686;VOLERO LE CANNET COTE D'AZUR 2 CFC; 3/0;25-9,25-19,25-20;75-48;PALAIS DES VICTOIRES;SIEGL FREDERIC;CHAMOT DAMIEN;
ABCCS;03;2FA015;2023-10-21;20:30;0349150;LATTES ASPTT MONTPELLIER V.A.C;0138032;PAYS D'AIX VENELLES V.B. 2; 1/3;25-21,21-25,7-25,20-25;73-96;BRIGITTE GEILER;MATHONNET THIBAUT;GAY PHILIPPE;
ABCCS;04;2FA016;2023-11-04;19:00;0349150;LATTES ASPTT MONTPELLIER V.A.C;0319689;A.S. DE L'UNION VOLLEY-BALL; 0/3;18-25,22-25,17-25;57-75;BRIGITTE GEILER;ROCHA DA SILVA JOAQUIM;MOHAMED SAID;
ABCCS;04;2FA017;2023-11-05;16:00;0138032;PAYS D'AIX VENELLES V.B. 2;0061297;RACING CLUB DE CANNES 2 CFC; 0/3;18-25,23-25,11-25;52-75;HALLE DES SPORTS;EKWA NGANGNANG WILLY;DAHMANI TOUFIQ;
