Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;02;CFA004;2023-11-12;11:00;0377620;UNION SPORTIVE CHAMBRAY LES TOURS;0168474;COSMIC VOLLEY; 2/0;25-14,25-22;50-36;LÉON BRULON;THOMAS PATRICE;THOMAS PATRICE;;
ACJEUNES;02;CFA005;2023-11-12;00:00;0168474;COSMIC VOLLEY;0634740;VOLLEY BALL CLUB CHAMALIERES; 1/2;25-18,19-25,7-15;51-58;LÉON BRULON;MORCHE ARTHUR;THOMAS PATRICE;;
ACJEUNES;02;CFA006;2023-11-12;00:00;0377620;UNION SPORTIVE CHAMBRAY LES TOURS;0634740;VOLLEY BALL CLUB CHAMALIERES; 2/0;25-9,25-12;50-21;LÉON BRULON;THOMAS PATRICE;MORCHE ARTHUR;;
ACJEUNES;02;CFB004;2023-11-12;11:00;0858891;LA ROCHE/YON VOLLEY-BALL;0177925;LA ROCHELLE VOLLEY BALL; 2/1;21-25,25-14,15-12;61-51;HAXO;BONNARD CLEMENT;GARDES ELODIE;;
ACJEUNES;02;CFB005;2023-11-12;00:00;0177925;LA ROCHELLE VOLLEY BALL;0491492;SPORTING CLUB DE L OUEST; 0/2;5-25,12-25;17-50;HAXO;GARDES ELODIE;BONNARD CLEMENT;;
ACJEUNES;02;CFB006;2023-11-12;00:00;0858891;LA ROCHE/YON VOLLEY-BALL;0491492;SPORTING CLUB DE L OUEST; 0/2;20-25,15-25;35-50;HAXO;BONNARD CLEMENT;GARDES ELODIE;;
ACJEUNES;02;CFC004;2023-11-12;11:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0449605;ST NAZAIRE VB ATLANTIQUE; 2/0;25-7,25-11;50-18;JEAN JAHAN 2;TANGUY LUDIVINE;GOFFIN JULES;;
ACJEUNES;02;CFC005;2023-11-12;00:00;0449605;ST NAZAIRE VB ATLANTIQUE;0174953;SPORT ATHLETIQUE ROCHEFORTAIS; 2/0;25-13,25-11;50-24;JEAN JAHAN 2;TANGUY LUDIVINE;GOFFIN JULES;;
ACJEUNES;02;CFC006;2023-11-12;00:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0174953;SPORT ATHLETIQUE ROCHEFORTAIS; 2/0;25-5,25-2;50-7;JEAN JAHAN 2;GOFFIN JULES;TANGUY LUDIVINE;;
ACJEUNES;02;CFD004;2023-11-12;11:00;0284553;C'CHARTRES VOLLEY;0921672;SAINT-CLOUD PARIS SF; 0/2;8-25,12-25;20-50;GYMNASE DE LA MADELEINE;LANGELUS CHRISTINE;QUINGUE SAMUEL;;
ACJEUNES;02;CFD005;2023-11-12;00:00;0921672;SAINT-CLOUD PARIS SF;0497783;ENTENTE CHOLETAISE VOLLEY-BALL; 2/0;25-10,25-14;50-24;GYMNASE DE LA MADELEINE;QUINGUE SAMUEL;LANGELUS CHRISTINE;;
ACJEUNES;02;CFD006;2023-11-12;00:00;0284553;C'CHARTRES VOLLEY;0497783;ENTENTE CHOLETAISE VOLLEY-BALL; 1/2;13-25,25-23,13-15;51-63;GYMNASE DE LA MADELEINE;LANGELUS CHRISTINE;QUINGUE SAMUEL;;
ACJEUNES;02;CFE004;2023-11-12;11:00;0335197;SPORT ATHLETIQUE MERIGNACAIS;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL; 2/0;25-22,25-20;50-42;DANIEL COLOMBIER;MOREAU JACQUES;JONET JULIE;;
ACJEUNES;02;CFE005;2023-11-12;00:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0862447;ALTERNA STADE POITEVIN VOLLEY BALL; 2/1;25-14,23-25,15-6;63-45;DANIEL COLOMBIER;JONET JULIE;MOREAU JACQUES;;
ACJEUNES;02;CFE006;2023-11-12;00:00;0335197;SPORT ATHLETIQUE MERIGNACAIS;0862447;ALTERNA STADE POITEVIN VOLLEY BALL; 2/0;25-14,25-11;50-25;DANIEL COLOMBIER;JONET JULIE;MOREAU JACQUES;;
ACJEUNES;02;CFF004;2023-11-12;11:00;0406116;BISCARROSSE OLYMPIQUE;0338606;VOLLEY BALL CLUB LE HAILLAN; 0/2;12-25,20-25;32-50;MEYRIE;MOUDACHE LYES;TUFELE ALEXANDRE;;
ACJEUNES;02;CFF005;2023-11-12;00:00;0338606;VOLLEY BALL CLUB LE HAILLAN;0649575;FOYER RURAL DE GER; 2/1;19-25,25-20,15-3;59-48;MEYRIE;TUFELE ALEXANDRE;MOUDACHE LYES;;
ACJEUNES;02;CFF006;2023-11-12;00:00;0406116;BISCARROSSE OLYMPIQUE;0649575;FOYER RURAL DE GER; 0/2;17-25,15-25;32-50;MEYRIE;MOUDACHE LYES;TUFELE ALEXANDRE;;
ACJEUNES;02;CFG004;2023-11-12;11:00;0646282;MJC LES FLEURS DE PAU;0645951;VOLLEY BALL DU LUY DE BEARN; 2/0;25-14,25-21;50-35;LEO LAGRANGE;LARRERE VINCENT;DOMINGUEZ LUCIO MARCIAL;;
ACJEUNES;02;CFG005;2023-11-12;00:00;0645951;VOLLEY BALL DU LUY DE BEARN;0645948;UNION BEARNAISE; 1/2;25-23,22-25,10-15;57-63;LEO LAGRANGE;LARRERE VINCENT;DOMINGUEZ LUCIO MARCIAL;;
ACJEUNES;02;CFG006;2023-11-12;00:00;0646282;MJC LES FLEURS DE PAU;0645948;UNION BEARNAISE; 2/1;25-22,24-26,15-7;64-55;LEO LAGRANGE;DOMINGUEZ LUCIO MARCIAL;LARRERE VINCENT;;
ACJEUNES;02;CFH004;2023-11-12;11:00;0175042;ROYAN ATLANTIQUE VOLLEY-BALL;0330014;J.S.A. BORDEAUX; 2/0;25-13,25-19;50-32;SALLE LANDRY;BAHUET JEAN-LUC;GIRAUD BAHUET MICHELE;;
ACJEUNES;02;CFH005;2023-11-12;00:00;0330014;J.S.A. BORDEAUX;0868442;VOUILLE VOLLEY BALL; 0/2;19-25,24-26;43-51;SALLE LANDRY;BAHUET JEAN-LUC;GIRAUD BAHUET MICHELE;;
ACJEUNES;02;CFH006;2023-11-12;00:00;0175042;ROYAN ATLANTIQUE VOLLEY-BALL;0868442;VOUILLE VOLLEY BALL; 2/1;16-25,25-23,15-13;56-61;SALLE LANDRY;GIRAUD BAHUET MICHELE;BAHUET JEAN-LUC;;
ACJEUNES;02;CFI004;2023-11-12;11:00;0319689;A.S. DE L'UNION VOLLEY-BALL;0317037;GRENADE VOLLEY BALL; 2/0;25-17,25-11;50-28;C300;AUBIN ANTOINE;VIGNES LOÏC;;
ACJEUNES;02;CFI005;2023-11-12;00:00;0317037;GRENADE VOLLEY BALL;0336361;AV GARDE J D ARC CAUDERAN; 2/0;25-10,26-24;51-34;C300;AUBIN ANTOINE;VIGNES LOÏC;;
ACJEUNES;02;CFI006;2023-11-12;00:00;0319689;A.S. DE L'UNION VOLLEY-BALL;0336361;AV GARDE J D ARC CAUDERAN; 2/1;25-20,15-25,15-12;55-57;C300;VIGNES LOÏC;AUBIN ANTOINE;;
ACJEUNES;02;CFJ004;2023-11-12;11:00;0315117;MURET VOLLEY-BALL;0340015;BEZIERS VOLLEY; 0/2;8-25,17-25;25-50;SALLE MIRAGE;SAUVY CLAIRE;FOURNIER DAVID;;
ACJEUNES;02;CFJ005;2023-11-12;00:00;0340015;BEZIERS VOLLEY;0198049;C.A. BRIVE/CORREZE VOLLEY; 2/0;25-11,25-8;50-19;SALLE MIRAGE;FOURNIER DAVID;SAUVY CLAIRE;;
ACJEUNES;02;CFJ006;2023-11-12;00:00;0315117;MURET VOLLEY-BALL;0198049;C.A. BRIVE/CORREZE VOLLEY; 2/0;25-17,25-4;50-21;SALLE MIRAGE;SAUVY CLAIRE;FOURNIER DAVID;;
ACJEUNES;02;CFK004;2023-11-12;14:00;0345002;ASBAM MONTPELLIER;0348589;LE CRES VOLLEY-BALL; 2/0;25-3,25-5;50-8;GYMNASE LES ARTS;MOHAMED SAID;TERME ANTOINE;;
ACJEUNES;02;CFK005;2023-11-12;00:00;0348589;LE CRES VOLLEY-BALL;0138311;BOUC-BEL-AIR VOLLEY-BALL; 0/2;8-25,18-25;26-50;GYMNASE LES ARTS;MOHAMED SAID;TERME ANTOINE;;
ACJEUNES;02;CFK006;2023-11-12;00:00;0345002;ASBAM MONTPELLIER;0138311;BOUC-BEL-AIR VOLLEY-BALL; 2/0;25-20,27-25;52-45;GYMNASE LES ARTS;TERME ANTOINE;MOHAMED SAID;;
ACJEUNES;02;CFL004;2023-11-12;11:00;0668467;PERPIGNAN ROUSSILLON V.B;0136761;ISTRES PROVENCE VOLLEY; 0/2;21-25,21-25;42-50;GYMNASE ANDRE ALSINA;HACCOUN STESSY;GARCIA SANDRINE;;
ACJEUNES;02;CFL005;2023-11-12;00:00;0136761;ISTRES PROVENCE VOLLEY;0132346;MARIGNANE VOLLEY-BALL; 2/0;25-14,25-21;50-35;GYMNASE ANDRE ALSINA;GARCIA SANDRINE;HACCOUN STESSY;;
ACJEUNES;02;CFL006;2023-11-12;00:00;0668467;PERPIGNAN ROUSSILLON V.B;0132346;MARIGNANE VOLLEY-BALL; 0/2;21-25,19-25;40-50;GYMNASE ANDRE ALSINA;HACCOUN STESSY;GARCIA SANDRINE;;
ACJEUNES;02;CFM004;2023-11-12;11:00;0349336;SAINT-GELY VOLLEY-BALL;0117968;VOLLEY-BALL GRUISSAN; 0/2;5-25,12-25;17-50;LA ROMPUDE;MARSAL JULIEN;AURELIEN MARIE-EMMANUELLE;;
ACJEUNES;02;CFM005;2023-11-12;00:00;0117968;VOLLEY-BALL GRUISSAN;0817326;CASTRES MASSAGUEL VOLLEY BALL CLUB; 2/0;25-16,25-12;50-28;LA ROMPUDE;MARSAL JULIEN;AURELIEN MARIE-EMMANUELLE;;
ACJEUNES;02;CFM006;2023-11-12;00:00;0349336;SAINT-GELY VOLLEY-BALL;0817326;CASTRES MASSAGUEL VOLLEY BALL CLUB; 2/0;25-15,25-17;50-32;LA ROMPUDE;AURELIEN MARIE-EMMANUELLE;MARSAL JULIEN;;
ACJEUNES;02;CFN004;2023-11-12;13:00;0319191;VOLLEY BALMA QUINT FONSEGRIVES;0819413;VOLLEY CLUB BASTIDIEN; 2/0;25-16,25-16;50-32;COLLÈGE DE BALMA;NIEL MAXIME;RIGOBERT JEROME;;
ACJEUNES;02;CFN005;2023-11-12;00:00;0819413;VOLLEY CLUB BASTIDIEN;0348292;VOLLEY BALL DE GIGNAC; 2/1;25-19,21-25,15-8;61-52;COLLÈGE DE BALMA;NIEL MAXIME;RIGOBERT JEROME;;
ACJEUNES;02;CFN006;2023-11-12;00:00;0319191;VOLLEY BALMA QUINT FONSEGRIVES;0348292;VOLLEY BALL DE GIGNAC; 2/0;25-18,25-19;50-37;COLLÈGE DE BALMA;RIGOBERT JEROME;NIEL MAXIME;;
