Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;04;CFA010;2024-01-21;11:00;0132346;MARIGNANE VOLLEY-BALL;0061297;RACING CLUB DE CANNES; 2/P;25-0,25-0;50-0;CARESTIER;DAILLAN MAEVA;BOULANGER JONAS;
ACJEUNES;04;CFA011;2024-01-21;00:00;0061297;RACING CLUB DE CANNES;0388899;UN.SP.VALLEE DE LA GRESSE; P/2;0-25,0-25;0-50;CARESTIER;BOULANGER JONAS;DAILLAN MAEVA;
ACJEUNES;04;CFA012;2024-01-21;00:00;0132346;MARIGNANE VOLLEY-BALL;0388899;UN.SP.VALLEE DE LA GRESSE; 2/1;25-20,20-25,15-13;60-58;CARESTIER;DAILLAN MAEVA;BOULANGER JONAS;
ACJEUNES;04;CFB010;2024-01-21;11:00;0136761;ISTRES PROVENCE VOLLEY;0067686;VOLERO LE CANNET COTE D'AZUR; 0/2;22-25,23-25;45-50;GYMNASE PAUL CAVALLONI;KHELLAF FREDERIC;CHOINARD MICHAEL;
ACJEUNES;04;CFB011;2024-01-21;00:00;0067686;VOLERO LE CANNET COTE D'AZUR;0380027;VOLLEY LA TOUR DU PIN; 2/0;25-12,25-17;50-29;GYMNASE PAUL CAVALLONI;CHOINARD MICHAEL;KHELLAF FREDERIC;
ACJEUNES;04;CFB012;2024-01-21;00:00;0136761;ISTRES PROVENCE VOLLEY;0380027;VOLLEY LA TOUR DU PIN; 2/0;25-22,25-19;50-41;GYMNASE PAUL CAVALLONI;KHELLAF FREDERIC;CHOINARD MICHAEL;
ACJEUNES;04;CFC010;2024-01-20;12:30;0839557;FREJUS VAR VOLLEY;0307732;NIMES VOLLEY-BALL; 2/0;25-11,25-13;50-24;HALLE DES PORTS SAINT CROIX;BELDICO THOMAS;CHASSAGNARD QUENTIN;
ACJEUNES;04;CFC011;2024-01-20;00:00;0307732;NIMES VOLLEY-BALL;0385990;US ST EGREVOISE; 2/0;25-20,25-20;50-40;HALLE DES PORTS SAINT CROIX;BELDICO THOMAS;CHASSAGNARD QUENTIN;
ACJEUNES;04;CFC012;2024-01-20;00:00;0839557;FREJUS VAR VOLLEY;0385990;US ST EGREVOISE; 2/0;25-13,25-11;50-24;HALLE DES PORTS SAINT CROIX;CHASSAGNARD QUENTIN;BELDICO THOMAS;
ACJEUNES;04;CFD010;2024-01-21;14:00;0136082;VITROLLES SPORTS VOLLEY-BALL;0837251;VOLLEY BALL OLLIOULAIS; 2/1;23-25,25-20,15-5;63-50;LEO LAGRANGE;EKWA NGANGNANG WILLY;HADID MARIE-CHRISTINE;
ACJEUNES;04;CFD011;2024-01-21;00:00;0837251;VOLLEY BALL OLLIOULAIS;0345002;ASBAM MONTPELLIER; 0/2;12-25,16-25;28-50;LEO LAGRANGE;EKWA NGANGNANG WILLY;HADID MARIE-CHRISTINE;
ACJEUNES;04;CFD012;2024-01-21;00:00;0136082;VITROLLES SPORTS VOLLEY-BALL;0345002;ASBAM MONTPELLIER; 2/1;25-11,16-25,15-12;56-48;LEO LAGRANGE;HADID MARIE-CHRISTINE;EKWA NGANGNANG WILLY;
ACJEUNES;04;CFE010;2024-01-21;11:00;0117968;VOLLEY-BALL GRUISSAN;0319191;VOLLEY BALMA QUINT FONSEGRIVES; 2/0;25-17,25-20;50-37;GYMNASE DU SABLOU;DUCARNE MICHAEL;BERNARD JACK-NICOLAS;
ACJEUNES;04;CFE011;2024-01-21;00:00;0319191;VOLLEY BALMA QUINT FONSEGRIVES;0060036;PAYS DE GRASSE VOLLEY-BALL; 2/0;25-19,25-21;50-40;GYMNASE DU SABLOU;DUCARNE MICHAEL;BERNARD JACK-NICOLAS;
ACJEUNES;04;CFE012;2024-01-21;00:00;0117968;VOLLEY-BALL GRUISSAN;0060036;PAYS DE GRASSE VOLLEY-BALL; 2/0;25-22,25-16;50-38;GYMNASE DU SABLOU;BERNARD JACK-NICOLAS;DUCARNE MICHAEL;
ACJEUNES;04;CFF010;2024-01-21;11:00;0319689;A.S. DE L'UNION VOLLEY-BALL;0649575;FOYER RURAL DE GER; 1/2;7-25,25-18,10-15;42-58;C300;JEANNE RODRIGUE;MEUNIER LAURENT;
ACJEUNES;04;CFF011;2024-01-21;00:00;0649575;FOYER RURAL DE GER;0340015;BEZIERS VOLLEY; 0/2;11-25,11-25;22-50;C300;MEUNIER LAURENT;JEANNE RODRIGUE;
ACJEUNES;04;CFF012;2024-01-21;00:00;0319689;A.S. DE L'UNION VOLLEY-BALL;0340015;BEZIERS VOLLEY; 0/2;16-25,17-25;33-50;C300;JEANNE RODRIGUE;MEUNIER LAURENT;
ACJEUNES;04;CFG010;2024-01-21;11:00;0349150;LATTES ASPTT MONTPELLIER V.A.C;0344410;ASLJCROIX ARGENT MONTPELLIER; 2/0;25-15,25-20;50-35;BRIGITTE GEILER;KRELIFA BRAHIM;MOHAMED SAID;
ACJEUNES;04;CFG011;2024-01-21;00:00;0344410;ASLJCROIX ARGENT MONTPELLIER;0077986;2GVB-GUILHERAND-GRANGES VOLLEY-BALL; 2/0;25-17,25-17;50-34;BRIGITTE GEILER;KRELIFA BRAHIM;MOHAMED SAID;
ACJEUNES;04;CFG012;2024-01-21;00:00;0349150;LATTES ASPTT MONTPELLIER V.A.C;0077986;2GVB-GUILHERAND-GRANGES VOLLEY-BALL; 2/0;25-13,25-13;50-26;BRIGITTE GEILER;MOHAMED SAID;KRELIFA BRAHIM;
ACJEUNES;04;CFH010;2024-01-21;11:00;0868442;VOUILLE VOLLEY BALL;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION; 0/2;11-25,13-25;24-50;GYMNASE DES MAILLOTS;RAFFENEAU DOMINIQUE;BRISSONNET MATTHIEU;
