Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;05;CMA013;2024-02-11;11:00;0060007;AS CANNES VOLLEY-BALL;0839557;FREJUS VAR VOLLEY;;;;LES COTEAUX;;;
ACJEUNES;05;CMA014;2024-02-11;00:00;0839557;FREJUS VAR VOLLEY;0345002;ASBAM MONTPELLIER;;;;LES COTEAUX;;;
ACJEUNES;05;CMA015;2024-02-11;00:00;0060007;AS CANNES VOLLEY-BALL;0345002;ASBAM MONTPELLIER;;;;LES COTEAUX;;;
ACJEUNES;05;CMB013;2024-02-11;11:00;0114939;NARBONNE VOLLEY;0132346;MARIGNANE VOLLEY-BALL;;;;PALAIS DU TRAVAIL;MOHAMED SAID;KRELIFA BRAHIM;
ACJEUNES;05;CMB014;2024-02-11;00:00;0132346;MARIGNANE VOLLEY-BALL;0640001;LESCAR PROMOTION VOLLEY-BALL;;;;PALAIS DU TRAVAIL;;;
ACJEUNES;05;CMB015;2024-02-11;00:00;0114939;NARBONNE VOLLEY;0640001;LESCAR PROMOTION VOLLEY-BALL;;;;PALAIS DU TRAVAIL;;;
ACJEUNES;05;CMC013;2024-02-11;11:00;0699603;ASUL LYON VOLLEY BALL;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE;;;;PETIT PALAIS DE GERLAND;CARREAU ESTELLE;ASSOGBA KOKOU-GUILLAUME;
ACJEUNES;05;CMC014;2024-02-11;00:00;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE;0668467;PERPIGNAN ROUSSILLON V.B;;;;PETIT PALAIS DE GERLAND;;;
ACJEUNES;05;CMC015;2024-02-11;00:00;0699603;ASUL LYON VOLLEY BALL;0668467;PERPIGNAN ROUSSILLON V.B;;;;PETIT PALAIS DE GERLAND;;;
ACJEUNES;05;CMD013;2024-02-11;11:00;0686394;VBC KINGERSHEIM;0885362;STADE ATHLETIQUE SPINALIEN;;;;COSEC;;;
ACJEUNES;05;CMD014;2024-02-11;00:00;0885362;STADE ATHLETIQUE SPINALIEN;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS;;;;COSEC;;;
ACJEUNES;05;CMD015;2024-02-11;00:00;0686394;VBC KINGERSHEIM;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS;;;;COSEC;;;
ACJEUNES;05;CME013;2024-02-11;11:00;0674157;STRASBOURG UNIVERSITE CLUB;0906468;ASM BELFORT VOLLEY-BALL;;;;GYMNASE AGR;;;
ACJEUNES;05;CME014;2024-02-11;00:00;0906468;ASM BELFORT VOLLEY-BALL;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL;;;;GYMNASE AGR;;;
ACJEUNES;05;CME015;2024-02-11;00:00;0674157;STRASBOURG UNIVERSITE CLUB;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL;;;;GYMNASE AGR;;;
ACJEUNES;05;CMF013;2024-02-11;11:00;0628128;LOISIRS INTER SPORT ST PIERRE;0599848;DUNKERQUE GRAND LITTORAL V.B.;;;;SALLE QUINET;;;
ACJEUNES;05;CMF014;2024-02-11;00:00;0599848;DUNKERQUE GRAND LITTORAL V.B.;0599844;MOUVEMENT VOLLEY BALL;;;;SALLE QUINET;;;
ACJEUNES;05;CMF015;2024-02-11;00:00;0628128;LOISIRS INTER SPORT ST PIERRE;0599844;MOUVEMENT VOLLEY BALL;;;;SALLE QUINET;;;
ACJEUNES;05;CMG013;2024-02-11;11:00;0177925;LA ROCHELLE VOLLEY BALL;0449605;ST NAZAIRE VB ATLANTIQUE;;;;GYMNASE DES PARCS;;;
ACJEUNES;05;CMG014;2024-02-11;00:00;0449605;ST NAZAIRE VB ATLANTIQUE;0826762;MONTAUBAN VOLLEY-BALL 82;;;;GYMNASE DES PARCS;;;
ACJEUNES;05;CMG015;2024-02-11;00:00;0177925;LA ROCHELLE VOLLEY BALL;0826762;MONTAUBAN VOLLEY-BALL 82;;;;GYMNASE DES PARCS;;;
ACJEUNES;05;CMH013;2024-02-11;11:00;0858891;LA ROCHE/YON VOLLEY-BALL;0442477;AILES SP BOUGUENAIS REZE;;;;PIERRE MENDES FRANCE;;;
ACJEUNES;05;CMH014;2024-02-11;00:00;0442477;AILES SP BOUGUENAIS REZE;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;;;;PIERRE MENDES FRANCE;;;
ACJEUNES;05;CMH015;2024-02-11;00:00;0858891;LA ROCHE/YON VOLLEY-BALL;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;;;;PIERRE MENDES FRANCE;;;
ACJEUNES;05;CMI013;2024-02-11;11:00;0496228;ATHLETIQUE CLUB LONGUEEN;0374861;TOURS VOLLEY-BALL;;;;SALLE DE LA TÊTE NOIRE;;;
ACJEUNES;05;CMI014;2024-02-11;00:00;0374861;TOURS VOLLEY-BALL;0534442;ASPTT LAVAL;;;;SALLE DE LA TÊTE NOIRE;;;
ACJEUNES;05;CMI015;2024-02-11;00:00;0496228;ATHLETIQUE CLUB LONGUEEN;0534442;ASPTT LAVAL;;;;SALLE DE LA TÊTE NOIRE;;;
ACJEUNES;05;CMJ013;2024-02-11;11:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0358885;ENT.SP.CULT. MOULINS;;;;COMPLEXE DES TERRES ROUGES;;;
ACJEUNES;05;CMJ014;2024-02-11;00:00;0358885;ENT.SP.CULT. MOULINS;0724695;JEUNESSE SPORT COULAINES;;;;COMPLEXE DES TERRES ROUGES;;;
ACJEUNES;05;CMJ015;2024-02-11;00:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0724695;JEUNESSE SPORT COULAINES;;;;COMPLEXE DES TERRES ROUGES;;;
ACJEUNES;05;CMK013;2024-02-11;11:00;0491492;SPORTING CLUB DE L OUEST;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;;;;CENTRE SPORTIF DE LA ROSERAIE;;;
ACJEUNES;05;CMK014;2024-02-11;00:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0798259;VOLLEY-BALL PEXINOIS NIORT;;;;CENTRE SPORTIF DE LA ROSERAIE;;;
ACJEUNES;05;CMK015;2024-02-11;00:00;0491492;SPORTING CLUB DE L OUEST;0798259;VOLLEY-BALL PEXINOIS NIORT;;;;CENTRE SPORTIF DE LA ROSERAIE;;;
ACJEUNES;05;CML013;2024-02-11;11:00;0351417;RENNES ETUDIANTS CLUB;0941410;VIE AU GRAND AIR DE ST MAUR;;;;COURTEMANCHE;;;
ACJEUNES;05;CML014;2024-02-11;00:00;0941410;VIE AU GRAND AIR DE ST MAUR;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL;;;;COURTEMANCHE;;;
ACJEUNES;05;CML015;2024-02-11;00:00;0351417;RENNES ETUDIANTS CLUB;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL;;;;COURTEMANCHE;;;
ACJEUNES;05;CMM013;2024-02-11;11:00;0757777;PUC VOLLEY-BALL;0784696;AS VOLLEY-BALL VELIZY;;;;CHARPY;;;
ACJEUNES;05;CMM014;2024-02-11;00:00;0784696;AS VOLLEY-BALL VELIZY;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD);;;;CHARPY;;;
ACJEUNES;05;CMM015;2024-02-11;00:00;0757777;PUC VOLLEY-BALL;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD);;;;CHARPY;;;
ACJEUNES;05;CMN013;2024-02-11;11:00;0788680;AS. SP DE SARTROUVILLE;0785464;CONFLANS-ANDRESY-JOUY VB;;;;CARNOT;;;
ACJEUNES;05;CMN014;2024-02-11;00:00;0785464;CONFLANS-ANDRESY-JOUY VB;0761509;LE HAVRE ESTUAIRE VOLLEY-BALL;;;;CARNOT;;;
ACJEUNES;05;CMN015;2024-02-11;00:00;0788680;AS. SP DE SARTROUVILLE;0761509;LE HAVRE ESTUAIRE VOLLEY-BALL;;;;CARNOT;;;
ACJEUNES;05;CMO013;2024-02-11;11:00;0912762;VOLLEY-BALL DE MILLY LA FORET;0929372;PLESSIS-ROBINSON VOLLEY-BALL;;;;GYMNASE MUNICIPAL;;;
ACJEUNES;05;CMO014;2024-02-11;00:00;0929372;PLESSIS-ROBINSON VOLLEY-BALL;0685479;UNION SPORTIVE MULHOUSE VOLLEY;;;;GYMNASE MUNICIPAL;;;
ACJEUNES;05;CMO015;2024-02-11;00:00;0912762;VOLLEY-BALL DE MILLY LA FORET;0685479;UNION SPORTIVE MULHOUSE VOLLEY;;;;GYMNASE MUNICIPAL;;;
ACJEUNES;05;CMP013;2024-02-11;11:00;0921672;SAINT-CLOUD PARIS SF;0622126;HARNES VOLLEY-BALL;;;;GYMNASE VERHAEREN;;;
ACJEUNES;05;CMP014;2024-02-11;00:00;0622126;HARNES VOLLEY-BALL;0382201;GRENOBLE V.UNIVERSITE CLUB;;;;GYMNASE VERHAEREN;;;
