Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
AALNV;01;MSL001;2023-10-20;20:00;0374861;TOURS Volley-Ball;0337145;AS ILLACAISE VB; 3/2;25-19,21-25,25-23,23-25,15-12;109-104;ROBERT GRENON;VANDERBEEKEN STEFAN;BRASSART GEOFFREY;;
AALNV;01;MSL002;2023-10-21;19:00;0929372;PLESSIS-ROBINSON Volley-Ball;0862447;ALTERNA STADE POITEVIN VB; 0/3;23-25,22-25,23-25;68-75;ESP. OMNISPORTS;BRASSART GEOFFREY;RAGUET PATRICK;;
AALNV;01;MSL003;2023-10-21;18:00;0343330;ARAGO DE SETE;0594680;TOURCOING VB LILLE METROPOLE; 1/3;25-16,20-25,20-25,16-25;81-91;LOUIS MARTY;MALAGOLI CHARLENE;BOUACHERIA SEBASTIEN;;
AALNV;01;MSL004;2023-10-21;19:00;0066927;NICE Volley-Ball;0314739;SPACER'S TOULOUSE Volley-Ball; 3/2;23-25,25-21,22-25,25-22,15-13;110-106;PALMEIRA;HAYAUX DU TILLY MATHILDE;SIEGL FREDERIC;;
AALNV;01;MSL005;2023-10-21;18:00;0442477;NANTES REZE METROPOLE;0349271;MONTPELLIER CASTELNAU Volley UC; 3/0;25-20,25-21,25-17;75-58;LA TROCARDIÈRE;COLLADOS FABRICE;ZGHEIB JOSEPH;;
AALNV;01;MSL006;2023-10-21;20:00;0523906;CHAUMONT VB 52 HAUTE-MARNE;0449605;ST NAZAIRE VB ATLANTIQUE; 3/0;25-20,25-20,25-14;75-54;PALESTRA;JACOB SEBASTIEN;LEBALC'H PIERRICK;;
AALNV;01;MSL007;2023-10-21;18:00;0114939;NARBONNE Volley;0757777;PARIS Volley; 0/3;23-25,16-25,28-30;67-80;L'ARENA;VIGNERON CHRISTOPHE;CHOUMAN ALAIN;;
AALNV;02;MSL008;2023-10-29;17:00;0314739;SPACER'S TOULOUSE Volley-Ball;0442477;NANTES REZE METROPOLE; 1/3;18-25,23-25,25-22,20-25;86-97;ANDRE BROUAT;RAGUET PATRICK;KARA MAXIME;;
AALNV;02;MSL009;2023-10-28;18:00;0337145;AS ILLACAISE VB;0929372;PLESSIS-ROBINSON Volley-Ball; 1/3;25-22,20-25,20-25,17-25;82-97;PIERRE FAVRE;CARQUIN JEROME;GADENNE CAMILLE;;
AALNV;02;MSL010;2023-10-27;20:00;0349271;MONTPELLIER CASTELNAU Volley UC;0343330;ARAGO DE SETE; 3/0;25-20,25-20,25-23;75-63;CHABAN DELMAS;GUILLET OLIVIER;REJAEYAN EHSAN;;
AALNV;02;MSL011;2023-10-28;17:00;0757777;PARIS Volley;0374861;TOURS Volley-Ball; 3/1;25-21,25-15,21-25,26-24;97-85;PIERRE CHARPY;KAISER CHANTAL;DJADOUN BRAHIM;;
AALNV;02;MSL012;2023-10-28;18:00;0523906;CHAUMONT VB 52 HAUTE-MARNE;0114939;NARBONNE Volley; 3/0;25-22,25-20,25-9;75-51;PALESTRA;GILBERT SYLVAIN;HAYAUX DU TILLY MATHILDE;;
AALNV;02;MSL013;2023-10-28;18:00;0449605;ST NAZAIRE VB ATLANTIQUE;0066927;NICE Volley-Ball; 3/1;23-25,29-27,25-18,25-18;102-88;COUBERTIN;HOUNNOUKPE JOEL;CARRE SYLVAIN;;
