Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;CFA001;2021-10-17;11:00;0064168;VOLLEY-BALL STADE LAURENTIN;0068454;MUNICIPAL OLYMPIQUE MOUGINS; 0/2;9-25,6-25;15-50;JOSEPH PAGNOL;RUBIN THOMAS;GUILLEMOT MORGANE;
ACJEUNES;01;CFA002;2021-10-17;00:00;0068454;MUNICIPAL OLYMPIQUE MOUGINS;0062701;ASS SPORTIVE DE MONACO; 0/2;24-26,18-25;42-51;JOSEPH PAGNOL;GUILLEMOT MORGANE;RUBIN THOMAS;
ACJEUNES;01;CFA003;2021-10-17;00:00;0064168;VOLLEY-BALL STADE LAURENTIN;0062701;ASS SPORTIVE DE MONACO; 0/2;13-25,6-25;19-50;JOSEPH PAGNOL;RUBIN THOMAS;GUILLEMOT MORGANE;
ACJEUNES;01;CFB001;2021-10-17;11:00;0061297;RACING CLUB DE CANNES;0062509;OLYMPIQUES ANTIBES JUAN PINS; 2/0;25-4,25-9;50-13;GYMNASE CARNOT;RANCHAL LILIAN;BOULBES MANON;
ACJEUNES;01;CFB002;2021-10-17;00:00;0062509;OLYMPIQUES ANTIBES JUAN PINS;0837903;UNION ATHLETIQUE VALETTOISE; 2/0;25-0,25-0;50-0;GYMNASE CARNOT;BOULBES MANON;RANCHAL LILIAN;
ACJEUNES;01;CFB003;2021-10-17;00:00;0061297;RACING CLUB DE CANNES;0837903;UNION ATHLETIQUE VALETTOISE; 2/0;25-0,25-0;50-0;GYMNASE CARNOT;RANCHAL LILIAN;BOULBES MANON;
ACJEUNES;01;CFC001;2021-10-17;11:00;0836446;SAINTE-MAXIME COGOLIN VOLLEY;0833350;VOLLEY PRADETAN GARDEEN; 1/2;7-25,25-23,10-15;42-63;LES BOSQUETTES;ROBEAU CLEMENT;POULET STEPHANE;
ACJEUNES;01;CFC002;2021-10-17;00:00;0833350;VOLLEY PRADETAN GARDEEN;0060008;MANDELIEU LA NAPOULE V.B.; 0/2;26-28,13-25;39-53;LES BOSQUETTES;ROBEAU CLEMENT;POULET STEPHANE;
ACJEUNES;01;CFC003;2021-10-17;00:00;0836446;SAINTE-MAXIME COGOLIN VOLLEY;0060008;MANDELIEU LA NAPOULE V.B.; 2/0;25-14,25-23;50-37;LES BOSQUETTES;ROBEAU CLEMENT;POULET STEPHANE;
ACJEUNES;01;CFD001;2021-10-17;11:00;0839557;FREJUS VAR VOLLEY;0067686;VOLERO LE CANNET COTE D'AZUR; 0/2;24-26,11-25;35-51;HALLE DES PORTS SAINT CROIX;PIETRASIK THEO;PIRIOU THIERRY;
ACJEUNES;01;CFD002;2021-10-17;00:00;0067686;VOLERO LE CANNET COTE D'AZUR;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE; 2/0;25-9,25-11;50-20;HALLE DES PORTS SAINT CROIX;PIRIOU THIERRY;PIETRASIK THEO;
ACJEUNES;01;CFD003;2021-10-17;00:00;0839557;FREJUS VAR VOLLEY;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE; 2/0;25-12,25-18;50-30;HALLE DES PORTS SAINT CROIX;PIETRASIK THEO;PIRIOU THIERRY;
ACJEUNES;01;CFE001;2021-10-17;11:00;0138932;STADE MARSEILLAIS U.C;0138350;COUDOUX VELAUX LA FARE VOLLEY-BALL; 0/2;3-25,1-25;4-50;ROSE FUVEAU;HADID MARIE-CHRISTINE;ROSSELLO REMY;
ACJEUNES;01;CFE002;2021-10-17;00:00;0138350;COUDOUX VELAUX LA FARE VOLLEY-BALL;0837251;VOLLEY BALL OLLIOULAIS; 2/0;25-9,25-6;50-15;ROSE FUVEAU;ROSSELLO REMY;HADID MARIE-CHRISTINE;
ACJEUNES;01;CFE003;2021-10-17;00:00;0138932;STADE MARSEILLAIS U.C;0837251;VOLLEY BALL OLLIOULAIS; 0/2;20-25,9-25;29-50;ROSE FUVEAU;HADID MARIE-CHRISTINE;ROSSELLO REMY;
ACJEUNES;01;CFF001;2021-10-17;11:00;0138032;PAYS D'AIX VENELLES V.B.;0132351;SALON VOLLEY; 2/0;25-9,25-6;50-15;HALLE DES SPORTS;DARTHOUX JEROME;ANDRE GINOULHAC MAEVA;
ACJEUNES;01;CFF002;2021-10-17;00:00;0132351;SALON VOLLEY;0132346;MARIGNANE VOLLEY-BALL; 0/2;9-25,22-25;31-50;HALLE DES SPORTS;DARTHOUX JEROME;ANDRE GINOULHAC MAEVA;
ACJEUNES;01;CFF003;2021-10-17;00:00;0138032;PAYS D'AIX VENELLES V.B.;0132346;MARIGNANE VOLLEY-BALL; 2/0;25-13,25-13;50-26;HALLE DES SPORTS;ANDRE GINOULHAC MAEVA;DARTHOUX JEROME;
ACJEUNES;01;CFG001;2021-10-17;11:00;0848651;VOLLEY BEAUCAIRE TARASCON (LE) GRES;0842404;JONQUIERES VOLLEY-BALL; 0/2;11-25,17-25;28-50;COSEC;EKWA NGANGNANG WILLY;CHAMROUK TOUFIK;
ACJEUNES;01;CFG002;2021-10-17;00:00;0842404;JONQUIERES VOLLEY-BALL;0307732;NIMES VOLLEY-BALL; 0/2;17-25,17-25;34-50;COSEC;EKWA NGANGNANG WILLY;CHAMROUK TOUFIK;
ACJEUNES;01;CFG003;2021-10-17;00:00;0848651;VOLLEY BEAUCAIRE TARASCON (LE) GRES;0307732;NIMES VOLLEY-BALL; 0/2;6-25,8-25;14-50;COSEC;CHAMROUK TOUFIK;EKWA NGANGNANG WILLY;
ACJEUNES;01;CFH001;2021-10-17;11:00;0347482;SETE VOLLEY-BALL CLUB;0344410;ASLJCROIX ARGENT MONTPELLIER; P/2;0-25,0-25;0-50;GYMNASE DU LIDO;GAZ� LYDIANE;GAY PHILIPPE;
ACJEUNES;01;CFH002;2021-10-17;00:00;0344410;ASLJCROIX ARGENT MONTPELLIER;0119381;M.J.C. COURSAN; 2/0;25-19,25-13;50-32;GYMNASE DU LIDO;GAZ� LYDIANE;GAY PHILIPPE;
ACJEUNES;01;CFH003;2021-10-17;00:00;0347482;SETE VOLLEY-BALL CLUB;0119381;M.J.C. COURSAN; P/2;0-25,0-25;0-50;GYMNASE DU LIDO;GAY PHILIPPE;GAZ� LYDIANE;
