Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;JMA001;2021-10-17;11:00;0060007;AS CANNES VOLLEY-BALL;0067689;US CAGNES VOLLEY-BALL; 2/0;25-18,25-12;50-30;PALAIS DES VICTOIRES;RAT BENJAMIN;CHAMOT DAMIEN;
ACJEUNES;01;JMA002;2021-10-17;00:00;0067689;US CAGNES VOLLEY-BALL;0138932;STADE MARSEILLAIS U.C; 2/0;25-8,25-11;50-19;PALAIS DES VICTOIRES;RAT BENJAMIN;CHAMOT DAMIEN;
ACJEUNES;01;JMA003;2021-10-17;00:00;0060007;AS CANNES VOLLEY-BALL;0138932;STADE MARSEILLAIS U.C; 2/0;25-10,25-22;50-32;PALAIS DES VICTOIRES;CHAMOT DAMIEN;RAT BENJAMIN;
ACJEUNES;01;JMB001;2021-10-17;14:00;0068454;MUNICIPAL OLYMPIQUE MOUGINS;0062509;OLYMPIQUES ANTIBES JUAN PINS; 2/0;25-12,25-11;50-23;ROGER DUHALDE;LUPI CLAUDE;TORRE PIETRO;
ACJEUNES;01;JMB002;2021-10-17;00:00;0062509;OLYMPIQUES ANTIBES JUAN PINS;0066927;NICE VOLLEY-BALL; 0/2;9-25,7-25;16-50;ROGER DUHALDE;TORRE PIETRO;LUPI CLAUDE;
ACJEUNES;01;JMB003;2021-10-17;00:00;0068454;MUNICIPAL OLYMPIQUE MOUGINS;0066927;NICE VOLLEY-BALL; 0/2;15-25,11-25;26-50;ROGER DUHALDE;TORRE PIETRO;LUPI CLAUDE;
ACJEUNES;01;JMC001;2021-10-17;11:00;0385990;US ST EGREVOISE;0388899;UN.SP.VALLEE DE LA GRESSE; 2/F;25-0,25-0;50-0;SALLE JEANNIE LONGO;;;
ACJEUNES;01;JMC002;2021-10-17;00:00;0388899;UN.SP.VALLEE DE LA GRESSE;0699603;ASUL LYON VOLLEY BALL; F/2;0-25,0-25;0-50;SALLE JEANNIE LONGO;;;
ACJEUNES;01;JMC003;2021-10-17;00:00;0385990;US ST EGREVOISE;0699603;ASUL LYON VOLLEY BALL;;;;SALLE JEANNIE LONGO;;;
ACJEUNES;01;JMD001;2021-10-17;11:00;0695191;ENTENTE V.B.C. RILLIEUX;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS; 0/2;9-25,8-25;17-50;GYMNASE MARIA CASAR�S;CADIEU LAURIANE;GAIGE BRUNO;
ACJEUNES;01;JMD002;2021-10-17;00:00;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS;0695668;VOLLEY BRON @ LYON LUMIERE; 2/0;25-16,25-15;50-31;GYMNASE MARIA CASAR�S;GAIGE BRUNO;CADIEU LAURIANE;
ACJEUNES;01;JMD003;2021-10-17;00:00;0695191;ENTENTE V.B.C. RILLIEUX;0695668;VOLLEY BRON @ LYON LUMIERE; 0/2;13-25,15-25;28-50;GYMNASE MARIA CASAR�S;CADIEU LAURIANE;GAIGE BRUNO;
ACJEUNES;01;JME001;2021-10-17;11:00;0637595;UNION SPORTIVE ISSOIRIENNE VOLLEY-BALL;0639238;CEBAZAT VOLLEY-BALL; 1/2;30-28,24-26,9-15;63-69;GYMNASE PIERRE DE COUBERTIN;LUSERGA ELOISE;BERNETTE CHRISTIAN;
ACJEUNES;01;JME002;2021-10-17;00:00;0639238;CEBAZAT VOLLEY-BALL;0429072;VOLLEY BALL VILLARS; 0/2;18-25,21-25;39-50;GYMNASE PIERRE DE COUBERTIN;BERNETTE CHRISTIAN;LUSERGA ELOISE;
ACJEUNES;01;JME003;2021-10-17;00:00;0637595;UNION SPORTIVE ISSOIRIENNE VOLLEY-BALL;0429072;VOLLEY BALL VILLARS; 0/2;14-25,26-28;40-53;GYMNASE PIERRE DE COUBERTIN;LUSERGA ELOISE;BERNETTE CHRISTIAN;
ACJEUNES;01;JMF001;2021-10-17;11:00;0030027;V.B. DISTRICT VICHYSSOIS;0635997;STADE CLERMONTOIS; 0/2;5-25,17-25;22-50;LES AILES;DURAND ANTOINE;LENOIR BENJAMIN;
ACJEUNES;01;JMF002;2021-10-17;00:00;0635997;STADE CLERMONTOIS;0456398;U.S.ORLEANS VOLLEY-BALL; 2/1;17-25,25-21,15-9;57-55;LES AILES;LENOIR BENJAMIN;DURAND ANTOINE;
ACJEUNES;01;JMF003;2021-10-17;00:00;0030027;V.B. DISTRICT VICHYSSOIS;0456398;U.S.ORLEANS VOLLEY-BALL; 0/2;13-25,17-25;30-50;LES AILES;DURAND ANTOINE;LENOIR BENJAMIN;
ACJEUNES;01;JMG001;2021-10-17;11:00;0453789;VOLLEY BEAUNE CLUB;0454144;ETUDIANT CLUB ORLEANAIS; 2/0;25-10,25-23;50-33;GYMNASE INTERCOMMUNAL;PERCEVIC DRAGAN;BEZY MARY-EMMANUEL;
ACJEUNES;01;JMG002;2021-10-17;00:00;0454144;ETUDIANT CLUB ORLEANAIS;0374861;TOURS VOLLEY-BALL; 0/2;14-25,18-25;32-50;GYMNASE INTERCOMMUNAL;PERCEVIC DRAGAN;BEZY MARY-EMMANUEL;
ACJEUNES;01;JMG003;2021-10-17;00:00;0453789;VOLLEY BEAUNE CLUB;0374861;TOURS VOLLEY-BALL; 0/2;17-25,28-30;45-55;GYMNASE INTERCOMMUNAL;BEZY MARY-EMMANUEL;PERCEVIC DRAGAN;
ACJEUNES;01;JMH001;2021-10-17;11:00;0545068;CO VILLERS LES NANCY;0542783;GRAND NANCY VOLLEY-BALL; 0/2;13-25,8-25;21-50;CHEPFER;POUSSIER MAXIME;JOUCHT ABDELLAH;
ACJEUNES;01;JMH002;2021-10-17;00:00;0542783;GRAND NANCY VOLLEY-BALL;0544386;UNION SPORTIVE DU JARNISY; 2/0;25-19,25-14;50-33;CHEPFER;JOUCHT ABDELLAH;POUSSIER MAXIME;
ACJEUNES;01;JMH003;2021-10-17;00:00;0545068;CO VILLERS LES NANCY;0544386;UNION SPORTIVE DU JARNISY; 0/2;14-25,16-25;30-50;CHEPFER;POUSSIER MAXIME;;
ACJEUNES;01;JMI001;2021-10-17;13:00;0218956;CLUB SPOR. FONTAINE LES DIJON;0213827;ASPTT DIJON; 0/2;8-25,21-25;29-50;GYMNASE DES CORTOTS;MODERE ARMELLE;GOND JOEL;
ACJEUNES;01;JMI002;2021-10-17;00:00;0213827;ASPTT DIJON;0717763;VB SENNECEY LE GRAND CANTON; 2/0;25-19,25-23;50-42;GYMNASE DES CORTOTS;MODERE ARMELLE;GOND JOEL;
ACJEUNES;01;JMI003;2021-10-17;00:00;0218956;CLUB SPOR. FONTAINE LES DIJON;0717763;VB SENNECEY LE GRAND CANTON; 0/2;19-25,24-26;43-51;GYMNASE DES CORTOTS;MODERE ARMELLE;GOND JOEL;
ACJEUNES;01;JMJ001;2021-10-17;11:00;0606669;VOLLEY-BALL RANTIGNY-LIANCOURT;0803771;AMIENS METROPOLE VOLLEY; 2/1;23-25,27-25,15-7;65-57;GYMNASE MUNICIPAL;LEFEBVRE THOMAS;LARRONDE NICOLAS;
ACJEUNES;01;JMJ002;2021-10-17;00:00;0803771;AMIENS METROPOLE VOLLEY;0510012;REIMS VOLLEY 51; 0/2;16-25,10-25;26-50;GYMNASE MUNICIPAL;LARRONDE NICOLAS;LEFEBVRE THOMAS;
ACJEUNES;01;JMJ003;2021-10-17;00:00;0606669;VOLLEY-BALL RANTIGNY-LIANCOURT;0510012;REIMS VOLLEY 51; 1/2;20-25,25-23,7-15;52-63;GYMNASE MUNICIPAL;LARRONDE NICOLAS;LEFEBVRE THOMAS;
ACJEUNES;01;JMK001;2021-10-17;13:00;0594680;TOURCOING VOLLEY-BALL L.M.;0594597;ASP VILLENEUVE D'ASCQ METROPOLE; 2/0;25-17,25-15;50-32;PIERRE DUMORTIER;MARTINET PIERRICK;;
ACJEUNES;01;JMK002;2021-10-17;00:00;0594597;ASP VILLENEUVE D'ASCQ METROPOLE;0622126;HARNES VOLLEY-BALL; 0/2;10-25,6-25;16-50;PIERRE DUMORTIER;MARTINET PIERRICK;;
ACJEUNES;01;JMK003;2021-10-17;00:00;0594680;TOURCOING VOLLEY-BALL L.M.;0622126;HARNES VOLLEY-BALL; 1/2;25-19,24-26,13-15;62-60;PIERRE DUMORTIER;MARTINET PIERRICK;;
ACJEUNES;01;JML001;2021-10-17;11:00;0599522;VC BELLAING/PORTE DU HAINAUT;0596135;VOLLEY CLUB DE CAMBRAI; 0/2;6-25,17-25;23-50;GERMINAL;DECORDE CEDRIC;;
ACJEUNES;01;JML002;2021-10-17;00:00;0596135;VOLLEY CLUB DE CAMBRAI;0628128;LOISIRS INTER SPORT ST PIERRE; 2/0;25-18,26-24;51-42;GERMINAL;DECORDE CEDRIC;;
ACJEUNES;01;JML003;2021-10-17;00:00;0599522;VC BELLAING/PORTE DU HAINAUT;0628128;LOISIRS INTER SPORT ST PIERRE; 0/2;13-25,16-25;29-50;GERMINAL;DECORDE CEDRIC;;
