Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;01;2FD001;2023-10-01;14:00;0579612;TERVILLE FLORANGE OLYMPIQUE 2 CFC;0429687;CLUB ATHLETIQUE DE ST ETIENNE; 3/0;25-23,25-21,25-20;75-64;GYMNASE MUNICIPAL;HABOUL ATIF;PETITJEAN THIERRY;
ABCCS;01;2FD002;2023-10-01;14:00;0387013;UNION AS. SEYSSINOISE V.B.;0255795;BESANCON VOLLEY-BALL; 3/2;25-21,25-15,21-25,17-25,15-9;103-95;YVES BROUZET;MEUNIER JEREMIE;CADIEU LAURIANE;
ABCCS;01;2FD003;2023-10-01;14:00;0543620;VANDOEUVRE-NANCY VOLLEY-BALL 2 CFC;0687706;VOLLEY-BALL CLUB D'ENSISHEIM; 3/0;25-22,27-25,25-12;77-59;MONPLAISIR;JAMET ADRIEN;SAYAG MARVYN;
ABCCS;01;2FD004;2023-10-01;14:00;0674157;STRASBOURG UNIVERSITE CLUB;0686625;AS SP ENTREMONT RIXHEIM; 0/3;24-26,25-27,21-25;70-78;GYMNASE AGR;CHABI SAMI;COSSON FREDERIC;
ABCCS;01;2FD005;2023-09-30;20:00;0426516;ENTENTE ST-CHAMOND VOLLEY;0906468;ASM BELFORT VOLLEY-BALL; 3/0;25-17,25-17,26-24;76-58;CLAUDE LEBOIS;BELDICO THOMAS;SAWREI LAURENT;
ABCCS;02;2FD006;2023-10-07;20:00;0426516;ENTENTE ST-CHAMOND VOLLEY;0429687;CLUB ATHLETIQUE DE ST ETIENNE; 3/0;25-20,25-19,25-15;75-54;CLAUDE LEBOIS;HERRERA JEAN-MARC;JACOB SEBASTIEN;
ABCCS;02;2FD007;2023-10-07;20:30;0906468;ASM BELFORT VOLLEY-BALL;0686625;AS SP ENTREMONT RIXHEIM; 3/1;25-14,25-19,23-25,25-15;98-73;GYMNASE THURNHERR;TATON OLIVIER;SAINT VOIRIN VINCENT;
ABCCS;02;2FD008;2023-10-08;14:00;0674157;STRASBOURG UNIVERSITE CLUB;0543620;VANDOEUVRE-NANCY VOLLEY-BALL 2 CFC; 0/3;22-25,25-27,21-25;68-77;GYMNASE AGR;LAMANDE ROBERT;MALERBA GIUSEPPE;
ABCCS;02;2FD009;2023-10-08;14:00;0255795;BESANCON VOLLEY-BALL;0687706;VOLLEY-BALL CLUB D'ENSISHEIM; 3/0;25-20,25-10,25-22;75-52;MALCOMBE;GARRAUT LORENZO;SAINT VOIRIN VINCENT;
ABCCS;02;2FD010;2023-10-08;15:00;0387013;UNION AS. SEYSSINOISE V.B.;0579612;TERVILLE FLORANGE OLYMPIQUE 2 CFC; 3/1;20-25,25-19,25-23,25-16;95-83;YVES BROUZET;SAADOUNE ABDELHAK;TATON OLIVIER;
ABCCS;03;2FD011;2023-10-22;14:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0387013;UNION AS. SEYSSINOISE V.B.; 1/3;18-25,20-25,25-19,21-25;84-94;GYMNASE VILLEBOEUF;COLLADOS FABRICE;SAADOUNE ABDELHAK;
ABCCS;03;2FD012;2023-10-22;14:00;0579612;TERVILLE FLORANGE OLYMPIQUE 2 CFC;0687706;VOLLEY-BALL CLUB D'ENSISHEIM; 3/0;25-13,25-10,25-16;75-39;GYMNASE MUNICIPAL;PREAU NICOLAS;SAYAG MARVYN;
ABCCS;03;2FD013;2023-10-22;14:00;0255795;BESANCON VOLLEY-BALL;0674157;STRASBOURG UNIVERSITE CLUB; 1/3;26-24,11-25,19-25,24-26;80-100;MALCOMBE;TATON OLIVIER;LEGER OLIVIER;
ABCCS;03;2FD014;2023-10-22;14:00;0543620;VANDOEUVRE-NANCY VOLLEY-BALL 2 CFC;0906468;ASM BELFORT VOLLEY-BALL; 3/1;25-18,22-25,25-22,25-17;97-82;NATIONS;CLAUDON MATTHIEU;MALERBA GIUSEPPE;
ABCCS;03;2FD015;2023-10-21;19:00;0686625;AS SP ENTREMONT RIXHEIM;0426516;ENTENTE ST-CHAMOND VOLLEY; 1/3;15-25,25-22,24-26,18-25;82-98;CITE DES SPORTS;SAINT VOIRIN VINCENT;GASIUNAS FAUSTAS;
ABCCS;04;2FD016;2023-11-05;15:00;0686625;AS SP ENTREMONT RIXHEIM;0429687;CLUB ATHLETIQUE DE ST ETIENNE; 3/1;25-12,22-25,25-16,25-21;97-74;CITE DES SPORTS;PICAUT EMMANUEL;NOLLET CHLOE;
ABCCS;04;2FD017;2023-11-04;20:00;0426516;ENTENTE ST-CHAMOND VOLLEY;0543620;VANDOEUVRE-NANCY VOLLEY-BALL 2 CFC; 3/1;25-23,25-11,20-25,25-20;95-79;CLAUDE LEBOIS;SAADOUNE ABDELHAK;MARTIN GUILLAUME;
ABCCS;04;2FD018;2023-11-04;20:00;0906468;ASM BELFORT VOLLEY-BALL;0255795;BESANCON VOLLEY-BALL; 3/1;27-29,25-22,25-14,25-17;102-82;GYMNASE THURNHERR;LEGER OLIVIER;SAINT VOIRIN VINCENT;
ABCCS;04;2FD019;2023-11-05;14:00;0674157;STRASBOURG UNIVERSITE CLUB;0579612;TERVILLE FLORANGE OLYMPIQUE 2 CFC; 1/3;25-15,22-25,21-25,16-25;84-90;GYMNASE AGR;SIFFERLEN FRANCK;CARLOTTI PIERRE;
ABCCS;04;2FD020;2023-11-05;15:00;0687706;VOLLEY-BALL CLUB D'ENSISHEIM;0387013;UNION AS. SEYSSINOISE V.B.; 0/3;21-25,13-25,19-25;53-75;DUOP�LE;JOVIGNOT ROMUALD;APTER MARC;
ABCCS;05;2FD021;2023-11-19;14:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0687706;VOLLEY-BALL CLUB D'ENSISHEIM; 3/0;25-14,25-9,25-20;75-43;GYMNASE VILLEBOEUF;STAN CLAUDIU;HADID MARIE-CHRISTINE;
ABCCS;05;2FD022;2023-11-19;14:00;0387013;UNION AS. SEYSSINOISE V.B.;0674157;STRASBOURG UNIVERSITE CLUB; 3/1;29-27,25-20,18-25,25-16;97-88;YVES BROUZET;COHEN LEVANA;MOUZAIA ABDELMADJID;
ABCCS;05;2FD023;2023-11-19;14:00;0579612;TERVILLE FLORANGE OLYMPIQUE 2 CFC;0906468;ASM BELFORT VOLLEY-BALL; 0/3;17-25,21-25,21-25;59-75;GYMNASE MUNICIPAL;LEPAGE BENOIT;PETITJEAN SARAH;
ABCCS;05;2FD024;2023-11-19;14:00;0255795;BESANCON VOLLEY-BALL;0426516;ENTENTE ST-CHAMOND VOLLEY; 2/3;25-22,22-25,25-18,8-25,16-18;96-108;MALCOMBE;APTER MARC;SAINT VOIRIN VINCENT;
ABCCS;05;2FD025;2023-11-19;14:00;0543620;VANDOEUVRE-NANCY VOLLEY-BALL 2 CFC;0686625;AS SP ENTREMONT RIXHEIM; 3/0;25-18,25-15,25-13;75-46;NATIONS;LAMANDE ROBERT;JACQUEMET ERIC;
ABCCS;06;2FD026;2023-11-26;14:00;0543620;VANDOEUVRE-NANCY VOLLEY-BALL 2 CFC;0429687;CLUB ATHLETIQUE DE ST ETIENNE; 3/0;25-21,25-13,25-17;75-51;MONPLAISIR;TOURNIER YVES;STANCZYKIEWICZ LIONEL;
ABCCS;06;2FD027;2023-11-25;20:00;0686625;AS SP ENTREMONT RIXHEIM;0255795;BESANCON VOLLEY-BALL; 1/3;25-22,19-25,14-25,18-25;76-97;CITE DES SPORTS;GARRAUT LORENZO;NOLLET CHLOE;
ABCCS;06;2FD028;2023-11-26;15:00;0426516;ENTENTE ST-CHAMOND VOLLEY;0579612;TERVILLE FLORANGE OLYMPIQUE 2 CFC; 3/1;25-19,25-19,17-25,25-17;92-80;CLAUDE LEBOIS;HADID MARIE-CHRISTINE;KOHLER FELIX;
ABCCS;06;2FD029;2023-11-26;15:00;0906468;ASM BELFORT VOLLEY-BALL;0387013;UNION AS. SEYSSINOISE V.B.; 2/3;15-25,23-25,25-16,25-21,12-15;100-102;GYMNASE THURNHERR;NOLLET CHLOE;HOFFNER LUCAS;
ABCCS;06;2FD030;2023-11-26;14:00;0674157;STRASBOURG UNIVERSITE CLUB;0687706;VOLLEY-BALL CLUB D'ENSISHEIM; 3/0;25-18,25-21,25-23;75-62;GYMNASE AGR;MALERBA GIUSEPPE;SAVOY JEAN-CLAUDE;
ABCCS;07;2FD031;2023-12-03;14:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0674157;STRASBOURG UNIVERSITE CLUB; 1/3;25-20,21-25,17-25,21-25;84-95;GYMNASE VILLEBOEUF;AUGEY NOEL;SAWREI LAURENT;
ABCCS;07;2FD032;2023-12-02;20:00;0687706;VOLLEY-BALL CLUB D'ENSISHEIM;0906468;ASM BELFORT VOLLEY-BALL; 0/3;16-25,22-25,13-25;51-75;DUOP�LE;KRIEGEL HERVE;NOLLET CHLOE;
