Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
LICA;01;PMAA001;2024-09-28;20:30;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE;0062509;OLYMPIQUE ANTIBES JUAN LES PINS; 3/1;25-20,25-12,15-25,25-11;90-68;GYMNASE DE COSTEBELLE;VAUTRIN LEA;PIRONNEAU ERIC;
LICA;01;PMAA002;2024-09-29;12:30;0066927;NICE VOLLEY BALL;0837903;UNION ATHLETIQUE VALETTOISE; 3/1;25-22,25-19,24-26,25-23;99-90;ESTIENNE D'ORVES;GABRIELE JEAN-CLAUDE;ALBERT DAVID;
LICA;01;PMAA003;2024-09-29;17:00;0060008;MANDELIEU LA NAPOULE VB;0836296;DRAGUIGNAN UNION CLUB VAR VB; 3/0;25-16,25-11,25-17;75-44;LES MIMOSAS;RAMBAUD JORDAN;THODENIUS MICHELLE;
LICA;01;PMAA004;2024-09-29;17:00;0839557;FREJUS VAR VOLLEY;0060036;PAYS DE GRASSE VOLLEY-BALL; 3/0;25-12,25-18,25-14;75-44;SAINTE CROIX;KHELLAF FREDERIC;COUDYSER MARC-ANTOINE;
LICA;01;PMAA005;2024-09-28;20:00;0060007;AS CANNES VOLLEY-BALL;0062701;ASS SPORTIVE DE MONACO; 2/3;27-25,16-25,25-21,24-26,13-15;105-112;LES COTEAUX;GABRIELE JEAN-CLAUDE;HANOTEL LEO;
LICA;02;PMAA006;2024-10-05;20:00;0060007;AS CANNES VOLLEY-BALL;0062509;OLYMPIQUE ANTIBES JUAN LES PINS; 3/0;25-23,25-20,26-24;76-67;LES COTEAUX;THODENIUS MICHELLE;DELOUVRIER STEPHANIE;
LICA;02;PMAA007;2024-10-05;20:00;0062701;ASS SPORTIVE DE MONACO;0839557;FREJUS VAR VOLLEY; 0/3;17-25,25-27,11-25;53-77;MONEGHETTI;PISANO LORENZO;TOMOU RONAN;
LICA;02;PMAA008;2024-10-06;15:00;0060008;MANDELIEU LA NAPOULE VB;0060036;PAYS DE GRASSE VOLLEY-BALL; 3/0;26-24,25-19,25-21;76-64;LES MIMOSAS;TORRE PIETRO;THODENIUS MICHELLE;
LICA;02;PMAA009;2024-10-05;20:00;0836296;DRAGUIGNAN UNION CLUB VAR VB;0066927;NICE VOLLEY BALL; 2/3;18-25,25-21,26-28,25-20,13-15;107-109;COLLÈGE ROSTAND;HOUMADI SOYFI;NEVEU FLORIAN;
LICA;02;PMAA010;2024-10-05;20:00;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE;0837903;UNION ATHLETIQUE VALETTOISE; 3/0;25-14,25-14,25-19;75-47;GYMNASE DE COSTEBELLE;MONTAGNESE OLIVIER;HARDION PHILIPPE;
LICA;03;PMAA011;2024-10-12;20:00;0062509;OLYMPIQUE ANTIBES JUAN LES PINS;0837903;UNION ATHLETIQUE VALETTOISE; 3/0;25-19,25-17,25-19;75-55;BERTONE;LEBONNOIS NOAM;CAUET LAURENT;
LICA;03;PMAA012;2024-10-12;20:30;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE;0836296;DRAGUIGNAN UNION CLUB VAR VB; 3/0;25-21,25-15,25-19;75-55;GYMNASE DE COSTEBELLE;LIMACHER LIONEL;HARDION PHILIPPE;
LICA;03;PMAA013;2024-10-12;18:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0066927;NICE VOLLEY BALL; 1/3;21-25,21-25,25-23,20-25;87-98;CHENAIE;TOMOU RONAN;PISANO LORENZO;
LICA;03;PMAA014;2024-10-12;20:30;0060008;MANDELIEU LA NAPOULE VB;0062701;ASS SPORTIVE DE MONACO; 2/3;25-13,25-12,19-25,20-25,16-18;105-93;LES MIMOSAS;VERMANDE SYLVAIN;BELDICO THOMAS;
LICA;03;PMAA015;2024-10-12;18:00;0839557;FREJUS VAR VOLLEY;0060007;AS CANNES VOLLEY-BALL; 3/0;25-15,25-20,30-28;80-63;SAINTE CROIX;TOURNAIRE GUY;LEQUINT MAXIME;
LICA;04;PMAA016;2024-10-20;17:00;0839557;FREJUS VAR VOLLEY;0062509;OLYMPIQUE ANTIBES JUAN LES PINS; 3/0;25-17,25-21,25-11;75-49;SAINTE CROIX;POIRET GUILLAUME;VERMANDE CEDRIC;
LICA;04;PMAA017;2024-10-19;20:00;0060007;AS CANNES VOLLEY-BALL;0060008;MANDELIEU LA NAPOULE VB; 1/3;20-25,17-25,25-20,22-25;84-95;LES COTEAUX;RUBIN THOMAS;ALBERT DAVID;
LICA;04;PMAA018;2024-10-20;14:00;0062701;ASS SPORTIVE DE MONACO;0066927;NICE VOLLEY BALL; 3/1;21-25,25-21,25-21,28-26;99-93;MONEGHETTI;LESAIN FROMENTIN LAETITIA;ALBERT DAVID;
LICA;04;PMAA019;2024-10-19;20:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE; 0/3;16-25,12-25,17-25;45-75;RENE FRIARD;BRIERE LOIC;HANOTEL LEO;
LICA;04;PMAA020;2024-10-19;20:00;0836296;DRAGUIGNAN UNION CLUB VAR VB;0837903;UNION ATHLETIQUE VALETTOISE; 0/3;23-25,20-25,24-26;67-76;COLLÈGE ROSTAND;CHASSAGNARD QUENTIN;MIELNIK THOMAS;
LICA;05;PMAA021;2024-11-17;18:00;0062509;OLYMPIQUE ANTIBES JUAN LES PINS;0836296;DRAGUIGNAN UNION CLUB VAR VB;;;;BERTONE;TOUSSAINT ANDRE-LUC;THODENIUS MICHELLE;
